"year","faculty","sex","survive","total"
1938,"M","M",14,22
1939,"M","M",15,25
1940,"M","M",14,25
1941,"M","M",13,22
1942,"M","M",34,49
1943,"M","M",18,24
1944,"M","M",21,34
1945,"M","M",13,18
1946,"M","M",19,27
1947,"M","M",22,33
1938,"A","M",16,28
1939,"A","M",8,17
1940,"A","M",21,26
1941,"A","M",11,13
1942,"A","M",10,17
1943,"A","M",13,19
1944,"A","M",5,9
1945,"A","M",5,6
1946,"A","M",0,0
1947,"A","M",14,25
1938,"S","M",9,11
1939,"S","M",7,8
1940,"S","M",18,30
1941,"S","M",12,15
1942,"S","M",18,25
1943,"S","M",15,19
1944,"S","M",29,39
1945,"S","M",31,38
1946,"S","M",4,4
1947,"S","M",22,27
1938,"E","M",9,11
1939,"E","M",7,10
1940,"E","M",12,17
1941,"E","M",6,9
1942,"E","M",8,11
1943,"E","M",1,1
1944,"E","M",18,22
1945,"E","M",23,28
1946,"E","M",0,0
1947,"E","M",23,33
1938,"A","F",19,21
1939,"A","F",16,20
1940,"A","F",15,23
1941,"A","F",16,19
1942,"A","F",4,7
1943,"A","F",10,11
1944,"A","F",10,16
1945,"A","F",24,27
1946,"A","F",1,1
1947,"A","F",9,12
1938,"S","F",1,1
1939,"S","F",1,1
1940,"S","F",4,5
1941,"S","F",3,3
1942,"S","F",4,4
1943,"S","F",10,12
1944,"S","F",2,2
1945,"S","F",16,18
1946,"S","F",1,1
1947,"S","F",7,7
