"HC","CO","NOX"
0.6,11.99,0.47
0.55,10.03,0.7
0.27,8.56,1.67
0.5,6.96,0.99
0.35,2.07,0.95
0.38,6.03,0.81
0.37,4.16,1.27
0.5,10.03,1.21
0.51,8.64,1.22
0.38,3.85,1.5
0.38,2.82,0.97
0.04,6.37,1.92
0.2,1.03,1.26
0.84,17.89,0.2
0.52,6.03,1.28
0.26,2.29,1.27
0.36,3.95,1.3
0.34,6.24,0.98
0.36,7.81,0.36
0.49,8.1,0.68
0.6,11.79,0.57
0.28,1.93,1.59
0.44,8.96,0.81
0.15,7.68,1.62
0.35,1.91,1.98
0.51,10.21,0.43
0.48,6.96,0.59
0.31,1.39,1.86
0.53,8.08,1.17
0.7,12.3,0.75
0.59,14.05,0.53
0.33,5.95,0.89
0.19,3.53,0.95
0.52,13.36,0.73
0.2,10.08,1.18
0.54,3.68,1.34
0.12,9.45,1.92
0.58,12.4,0.45
0.37,7.45,0.83
0.08,7.36,2.36
0.5,11,0.68
0.34,4.6,1.51
0.33,4.86,1.03
0.13,9.49,1.31
0.46,10.19,0.28
0.51,9.27,1.4
0.29,4.26,1.03
0.49,13.64,0.62
0.29,4.79,1.15
0.33,2.37,1.07
0.29,7.7,0.84
0.35,3.05,1.45
0.47,11,0.95
0.19,2.55,0.59
0.67,13.87,0.32
0.45,8.04,0.88
0.5,8.16,0.86
0.23,0.62,1
0.57,10.7,0.92
0.55,14.64,1.12
0.36,5.52,1.56
0.43,7.57,1.16
0.32,4.44,0.91
0.44,8.15,1.01
0.79,22.61,0.1
0.13,2.46,1.73
0.44,11.69,0.73
0.1,11.37,1.2
0.24,8.92,1.67
0.17,0.09,1.06
0.28,5.63,1.26
0.4,6.47,1.25
0.26,5.55,0.85
0.44,4.53,1.24
0.49,8.24,0.86
0.28,2.39,1.16
0.3,3.43,0.93
0.42,8.58,0.9
0.55,8.15,1.33
0.26,8.69,1.57
0.41,4.06,1.07
0.16,0.94,1.66
0.61,11.29,0.33
0.32,5,1.4
0.3,5.36,1.47
0.43,6.35,0.68
0.12,9.12,2.72
0.39,5.29,0.69
0.59,11.38,1.14
0.48,8.75,1
0.34,4.84,1.59
0.05,9.88,1.42
0.55,11.94,0.41
0.53,9.79,1.12
0.62,11.5,0.31
0.23,4.19,1.32
0.5,6.83,1.28
0.68,12.4,0.9
0.46,5.81,1.67
0.59,14.44,0.51
