"HC","CO","NOX"
0.26,2.08,1.79
0.36,1.57,1.68
0.74,8.48,1.92
0.59,11.95,0.51
0.27,0.63,1.51
0.43,9.1,1.75
0.55,10.09,0.07
0.58,11.4,0.6
0.32,2.95,1.22
0.38,6.37,1.14
0.19,8.02,1.9
0.36,9.62,0.31
0.14,5.35,1.37
0.32,0.72,1.4
0.36,5.11,1.33
0.34,4.01,1.76
0.51,9.69,0.57
0.17,2.55,1.08
0.55,12.62,0.9
0.22,7.32,1.14
0.4,2.49,1.38
0.56,9.62,1.7
0.39,4.01,1.02
0.26,2.07,1.01
0.44,8.54,1.27
0.45,9.65,0.84
0.79,19.28,0.23
0.59,5.93,1.09
0.5,9.83,1
0.28,7.91,1.98
0.41,7.91,1.04
0.72,18.15,0.46
0.42,6.12,0.84
0.46,6.33,0.85
0.44,12.26,0.4
0.53,9.73,0.82
0.37,5.1,1.33
0.21,9.97,1.49
0.59,10.42,1.2
0.34,1.09,1.58
0.25,1.78,1.55
0.63,12.24,0.28
0.52,11.96,0.47
0.4,3.52,1.31
0.29,3.53,1.85
0.34,1.62,1.62
0.35,5.84,1.25
0.38,3.1,0.86
0.48,9.45,1.5
0.53,7.52,1.4
0.68,16.64,0.67
0.26,1.26,1.31
0.8,16.23,0.17
0.54,9.61,1.26
0.58,8.18,0.43
0.51,4.74,1.8
0.72,17.73,0.17
0.35,4.01,1.57
0.14,0.06,1.51
0.47,4.78,1.43
0.12,7.79,1.9
0.46,2.5,0.85
0.22,0.58,1.77
0.45,5.42,0.96
0.21,1.73,1.08
0.45,6.14,0.79
0.44,8.56,0.72
0.16,7.8,2.02
0.17,1.33,1.59
0.47,7.55,1.94
0.55,10.28,0.9
0.25,4.08,0.82
0.18,8.65,1.59
0.12,1.85,0.87
0.41,9,1.21
0.41,6.38,0.11
0.4,8.59,1.14
0.16,1.41,1.32
0.54,11.89,0.96
0.14,7.92,0.96
0.38,3.83,0.72
0.2,8.73,1.32
0.32,7.08,1.97
0.49,12.82,0.24
0.73,14.12,0.78
0.62,10.61,0.98
0.58,14.63,0.25
0.75,7.72,1.93
0.2,0.61,1
0.44,2.35,1.19
0.45,7.43,1.17
0.29,1.45,1.7
0.28,3.44,0.87
0.32,3.98,1.42
0.32,5.23,1.62
0.27,6.62,0.32
0.68,13.1,1.17
0.76,15.4,1.34
0.61,12.55,0.43
0.32,3.28,0.96
