"year","faculty","sex","survive","total"
1938,"M","M",14,24
1939,"M","M",18,28
1940,"M","M",13,23
1941,"M","M",16,26
1942,"M","M",37,65
1943,"M","M",17,18
1944,"M","M",19,26
1945,"M","M",7,10
1946,"M","M",25,35
1947,"M","M",16,19
1938,"A","M",22,35
1939,"A","M",11,18
1940,"A","M",10,18
1941,"A","M",9,11
1942,"A","M",9,16
1943,"A","M",13,21
1944,"A","M",4,8
1945,"A","M",5,10
1946,"A","M",0,0
1947,"A","M",12,18
1938,"S","M",5,6
1939,"S","M",10,13
1940,"S","M",13,15
1941,"S","M",10,13
1942,"S","M",19,27
1943,"S","M",9,14
1944,"S","M",22,33
1945,"S","M",32,40
1946,"S","M",7,9
1947,"S","M",30,35
1938,"E","M",9,14
1939,"E","M",6,7
1940,"E","M",12,13
1941,"E","M",5,6
1942,"E","M",2,3
1943,"E","M",1,1
1944,"E","M",10,14
1945,"E","M",21,25
1946,"E","M",0,0
1947,"E","M",26,40
1938,"A","F",19,25
1939,"A","F",9,12
1940,"A","F",10,12
1941,"A","F",13,21
1942,"A","F",10,12
1943,"A","F",7,8
1944,"A","F",20,20
1945,"A","F",11,15
1946,"A","F",2,3
1947,"A","F",7,10
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",9,10
1941,"S","F",2,3
1942,"S","F",1,1
1943,"S","F",8,9
1944,"S","F",8,9
1945,"S","F",12,13
1946,"S","F",1,1
1947,"S","F",7,8
