"year","faculty","sex","survive","total"
1938,"M","M",10,21
1939,"M","M",17,26
1940,"M","M",6,12
1941,"M","M",20,30
1942,"M","M",33,46
1943,"M","M",20,31
1944,"M","M",19,35
1945,"M","M",11,19
1946,"M","M",27,41
1947,"M","M",26,38
1938,"A","M",15,33
1939,"A","M",16,23
1940,"A","M",18,34
1941,"A","M",14,20
1942,"A","M",9,10
1943,"A","M",17,23
1944,"A","M",5,8
1945,"A","M",4,7
1946,"A","M",0,0
1947,"A","M",20,30
1938,"S","M",12,15
1939,"S","M",10,13
1940,"S","M",21,28
1941,"S","M",11,15
1942,"S","M",24,27
1943,"S","M",13,20
1944,"S","M",17,28
1945,"S","M",31,38
1946,"S","M",1,4
1947,"S","M",34,44
1938,"E","M",11,13
1939,"E","M",11,13
1940,"E","M",10,14
1941,"E","M",3,5
1942,"E","M",6,9
1943,"E","M",1,1
1944,"E","M",23,28
1945,"E","M",15,25
1946,"E","M",0,0
1947,"E","M",29,36
1938,"A","F",14,18
1939,"A","F",12,16
1940,"A","F",18,22
1941,"A","F",13,16
1942,"A","F",8,10
1943,"A","F",7,11
1944,"A","F",18,25
1945,"A","F",16,17
1946,"A","F",1,1
1947,"A","F",8,11
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",2,3
1941,"S","F",2,2
1942,"S","F",4,4
1943,"S","F",4,5
1944,"S","F",7,9
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",15,17
