"HC","CO","NOX"
0.55,9.18,1.19
0.57,10.97,0.92
0.36,1.68,0.77
0.39,6.28,0.92
0.35,1.34,1.67
0.57,11.13,0.95
0.24,7.53,2.29
0.46,7.68,1.36
0.7,13.27,0.98
0.07,7.43,1.93
0.14,3.08,0.97
0.3,1.7,1.16
0.61,14.09,0.82
0.35,4.38,0.86
0.33,5.5,1.18
0.42,5.62,1.09
0.53,10.49,0.82
0.3,6.68,1.59
0.39,2.19,1.3
0.57,7.5,1.94
0.26,0.82,1.83
0.69,13.57,0.87
0.6,12.82,1.06
0.5,11.1,0.42
0.66,16.76,0.31
0.43,10.79,1.74
0.22,0.8,1.41
0.74,16.31,0.62
0.53,9.94,0.97
0.46,3.9,1.96
0.45,9.52,0.59
0.63,12.84,0.32
0.73,7.38,2.11
0.56,8.32,1.13
0.37,5.03,0.98
0.01,6.35,1.25
0.47,7.36,1.24
0.32,4.93,1.27
0.44,7.35,1.26
0.47,11.35,1.3
0.32,2.66,1.71
0.26,7.55,1
0.15,9.98,2.27
0.46,7.51,1.25
0.33,2.89,1.55
0.34,2.91,1
0.73,19.11,0.63
0.14,10.62,1.44
0.63,10.53,1.05
0.34,6.16,0.75
0.44,11.41,0.56
0.47,6.28,1.24
0.25,7.19,1.59
0.49,11.75,0.84
0.25,0.88,1.21
0.33,4.71,1.45
0.46,8.37,0.5
0.38,7.29,1.04
0.21,1.11,1.76
0.54,8.07,1.14
0.55,14.29,0.23
0.6,6.58,1.1
0.7,14.08,0.87
0.41,4.24,1
0.46,7.91,1.77
0.32,1.74,0.59
0.59,11.62,0.47
0.36,5.51,1.33
0.56,13.05,0.66
0.32,5.92,0.46
0.31,5.45,1.93
0.37,6.03,1.17
0.34,6.86,0.51
0.05,8.84,1.96
0.51,8.46,1.05
0.14,7.05,2.07
0.56,9.61,0.71
0.42,4.55,0.94
0.3,1.74,1.27
0.4,4.56,0.9
0.43,2.79,1.57
0.12,7.44,1.73
0.59,8.8,1.07
0.44,7.47,0.8
0.39,4.9,1.3
0.25,1.11,2.04
0.41,5.42,1.29
0.21,0.82,1.36
0.47,4.79,0.53
0.21,8.61,1.54
0.27,9.01,1.74
0.46,5.98,1.32
0.24,5.95,0.94
0.05,8.58,1.31
0.53,9.64,0.57
0.03,0.44,0.77
0.33,2.61,1.03
0.65,11.98,0.89
0.48,11.06,0.54
0.35,6.32,1.17
