"HC","CO","NOX"
0.75,13.37,0.66
0.56,7.06,1.33
0.42,6.73,1.48
0.37,8.26,0.66
0.64,13.5,0.55
0.45,5.96,1.81
0.58,9.57,1.12
0.48,5.84,1.18
0.75,18.76,0.73
0.21,7.73,1.92
0.22,0.97,1.28
0.39,7.71,1.06
0.35,4.6,1.12
0.22,0.58,1.62
0.91,16.91,0.77
0.25,0.43,1.06
0.37,7.04,1.21
0.44,4.93,1.48
0.55,13.01,0.34
0.32,1.83,1.78
0.25,4.43,1.21
0.45,8.87,0.3
0.28,5.13,1.42
0.16,7.27,2.21
0.39,10.55,1.01
0.4,2.42,1.44
0.34,3.98,1.18
0.32,5.48,0.76
0.44,4.83,1.26
0.53,8.71,1.34
0.62,11.99,0.59
0.66,15.58,1.01
0.68,8.66,1.66
0.27,10.21,2.04
0.65,13.34,0.84
0.24,7.57,1.25
0.16,1.04,0.64
0.39,3.84,1
0.54,8.57,1.02
0.35,1.59,0.85
0.36,3.64,1.05
0.6,14.46,1.21
0.56,10.85,0.22
0.35,1.66,1.31
0.62,8.82,1.49
0.35,3.09,1.32
0.43,7.32,1.47
0.42,5.06,1.17
0.4,3.81,1.78
0.31,3.76,1.34
0.34,6.49,0.97
0.19,9.32,1.54
0.12,1.94,1.81
0.74,12.45,0.04
0.23,0.95,1.66
0.33,8.09,1.11
0.35,5.2,1.02
0.29,2.8,1.03
0.46,7.81,1.47
0.23,1.05,1.25
0.7,15.35,0.77
0.39,5.16,1.3
0.65,13.08,1.2
0.51,14.38,0.6
0.55,8.07,1.1
0.44,7.46,0.95
0.2,0.44,1.92
0.15,5.3,1.39
0.81,18.6,0.18
0.45,7.15,1.44
0.14,1.33,0.62
0.34,3.2,1.29
0.11,8.02,1.88
0.57,11.58,0.69
0.59,12.89,1.03
0.68,11.75,0.7
0.46,5.66,0.48
0.47,6.65,0.86
0.38,3.04,1.52
0.29,3.29,0.96
0.3,4.44,1.28
0.63,6.39,1.71
0.37,1.24,1.28
0.16,6.03,1.8
0.41,9.88,1.35
0.52,9.8,0.39
0.29,5.35,1.04
0.38,6.39,1.05
0.26,3.3,1.34
0.71,18.12,1.05
0.24,1.65,1.1
0.12,7.68,1.77
0.22,7.25,1.84
0.48,6.93,1.2
0.34,6.73,1.49
0.51,7.54,0.56
0.36,3.13,0.46
0.36,2.94,0.94
0.33,5.71,1.4
0.34,7.08,1.37
