"year","faculty","sex","survive","total"
1938,"M","M",18,23
1939,"M","M",11,22
1940,"M","M",8,15
1941,"M","M",15,27
1942,"M","M",34,56
1943,"M","M",17,22
1944,"M","M",18,38
1945,"M","M",8,21
1946,"M","M",16,28
1947,"M","M",34,49
1938,"A","M",13,26
1939,"A","M",13,20
1940,"A","M",10,15
1941,"A","M",10,17
1942,"A","M",6,7
1943,"A","M",6,13
1944,"A","M",8,12
1945,"A","M",9,15
1946,"A","M",0,0
1947,"A","M",18,31
1938,"S","M",10,14
1939,"S","M",9,11
1940,"S","M",14,20
1941,"S","M",8,11
1942,"S","M",13,21
1943,"S","M",9,13
1944,"S","M",30,37
1945,"S","M",28,33
1946,"S","M",7,8
1947,"S","M",20,27
1938,"E","M",15,18
1939,"E","M",8,13
1940,"E","M",8,13
1941,"E","M",6,8
1942,"E","M",4,5
1943,"E","M",2,2
1944,"E","M",13,20
1945,"E","M",21,26
1946,"E","M",0,0
1947,"E","M",24,34
1938,"A","F",17,21
1939,"A","F",7,11
1940,"A","F",13,14
1941,"A","F",9,14
1942,"A","F",4,4
1943,"A","F",12,14
1944,"A","F",16,22
1945,"A","F",12,15
1946,"A","F",3,3
1947,"A","F",7,8
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",7,8
1941,"S","F",1,1
1942,"S","F",2,2
1943,"S","F",6,9
1944,"S","F",5,7
1945,"S","F",15,17
1946,"S","F",2,2
1947,"S","F",12,13
