"HC","CO","NOX"
0.33,4.02,1.62
0.28,3.71,0.97
0.46,6.2,1.39
0.44,6.56,0.54
0.3,1.18,1.56
0.41,9.33,0.74
0.47,10.98,1.6
0.5,5.23,1.5
0.21,5.78,1.75
0.24,1.2,1.34
0.52,11.45,0.89
0.17,1.88,1.63
0.41,5.93,0.91
0.42,4.91,0.99
0.6,11.76,0.62
0.52,11.93,0.93
0.57,8.49,0.61
0.25,1.21,1.92
0.6,8.24,1.07
0.12,1.11,1.37
0.14,7.29,1.35
0.63,13.39,1.04
0.28,4.53,0.51
0.59,12.29,0.55
0.35,8.06,1
0.51,9.41,1.22
0.16,0.59,1.43
0.42,4.96,1.12
0.39,5.15,1.84
0.29,1.64,1.7
0.12,7.44,1.84
0.43,7.26,1.47
0.5,7.45,1.52
0.31,2.65,1.46
0.62,12.61,0.8
0.63,11.07,0.82
0.31,1.69,2.11
0.32,4.07,1.79
0.41,7.49,1.06
0.43,4.29,1.27
0.59,13.78,0.84
0.3,2.53,0.88
0.31,5.4,0.83
0.34,2.6,1.51
0.42,5.4,0.72
0.16,9.24,1.39
0.51,8.07,1.42
0.39,6.11,0.45
0.72,14.52,1.32
0.43,6.41,0.55
0.63,13.22,1.12
0.44,6.55,1.1
0.47,9.16,1.04
0.59,12.18,1.53
0.24,4.67,0.86
0.52,8.07,0.87
0.59,12.64,0.64
0.69,14.9,0.53
0.38,6.99,1.05
0.4,8.24,0.95
0.7,12.49,0.29
0.59,10.84,1.38
0.52,9.12,0.96
0.35,3.09,1.6
0.53,7.64,1.73
0.28,4.6,1.54
0.19,10.64,1.5
0.27,10.73,1.36
0.57,10.79,0.34
0.28,3.51,0.75
0.48,10.28,0.96
0.7,13.45,0.65
0.41,6.07,1.58
0.37,7.15,0.72
0.29,1.12,1.66
0.32,2.55,0.55
0.24,1.91,1.45
0.1,6.99,1.54
0.27,0.81,1.17
0.22,1.07,1.82
0.38,6.37,0.64
0.71,17.57,0.53
0.66,12.67,0.43
0.46,8.58,0.99
0.37,2.98,1.64
0.36,5.41,1.81
0.38,4.27,1.14
0.37,6.44,0.59
0.33,1.69,1.73
0.61,12.91,0.87
0.51,10.96,0.05
0.45,6.19,1.18
0.67,13.49,0.76
0.22,3.55,1.48
0.68,16.67,0.52
0.21,1.99,0.95
0.25,6.79,0.48
0.45,6.43,1.27
0.98,20.08,0.37
0.19,2.15,1.36
