"year","faculty","sex","survive","total"
1938,"M","M",13,20
1939,"M","M",11,19
1940,"M","M",11,15
1941,"M","M",19,26
1942,"M","M",40,60
1943,"M","M",14,23
1944,"M","M",18,28
1945,"M","M",3,5
1946,"M","M",29,37
1947,"M","M",30,43
1938,"A","M",16,26
1939,"A","M",18,28
1940,"A","M",14,24
1941,"A","M",5,7
1942,"A","M",3,7
1943,"A","M",13,19
1944,"A","M",7,8
1945,"A","M",8,14
1946,"A","M",0,0
1947,"A","M",16,24
1938,"S","M",7,8
1939,"S","M",7,13
1940,"S","M",11,18
1941,"S","M",15,19
1942,"S","M",27,32
1943,"S","M",17,25
1944,"S","M",22,29
1945,"S","M",28,34
1946,"S","M",2,3
1947,"S","M",29,35
1938,"E","M",12,16
1939,"E","M",10,11
1940,"E","M",10,12
1941,"E","M",9,15
1942,"E","M",8,8
1943,"E","M",3,3
1944,"E","M",13,24
1945,"E","M",22,28
1946,"E","M",0,0
1947,"E","M",37,43
1938,"A","F",17,19
1939,"A","F",13,15
1940,"A","F",20,25
1941,"A","F",17,24
1942,"A","F",7,10
1943,"A","F",8,9
1944,"A","F",15,17
1945,"A","F",25,33
1946,"A","F",1,2
1947,"A","F",12,15
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",5,5
1941,"S","F",2,2
1942,"S","F",5,5
1943,"S","F",11,13
1944,"S","F",2,2
1945,"S","F",12,15
1946,"S","F",1,1
1947,"S","F",5,5
