"year","faculty","sex","survive","total"
1938,"M","M",10,21
1939,"M","M",14,24
1940,"M","M",10,25
1941,"M","M",18,35
1942,"M","M",38,56
1943,"M","M",12,16
1944,"M","M",13,24
1945,"M","M",8,13
1946,"M","M",24,37
1947,"M","M",36,56
1938,"A","M",20,27
1939,"A","M",10,17
1940,"A","M",10,19
1941,"A","M",5,10
1942,"A","M",5,12
1943,"A","M",9,16
1944,"A","M",4,7
1945,"A","M",12,16
1946,"A","M",0,0
1947,"A","M",12,19
1938,"S","M",8,13
1939,"S","M",8,13
1940,"S","M",11,16
1941,"S","M",7,8
1942,"S","M",22,34
1943,"S","M",23,25
1944,"S","M",25,35
1945,"S","M",17,26
1946,"S","M",4,5
1947,"S","M",25,33
1938,"E","M",14,18
1939,"E","M",13,16
1940,"E","M",11,18
1941,"E","M",3,4
1942,"E","M",4,4
1943,"E","M",2,4
1944,"E","M",8,12
1945,"E","M",22,24
1946,"E","M",0,0
1947,"E","M",28,38
1938,"A","F",17,23
1939,"A","F",14,16
1940,"A","F",9,11
1941,"A","F",12,22
1942,"A","F",7,7
1943,"A","F",12,17
1944,"A","F",14,19
1945,"A","F",17,19
1946,"A","F",3,3
1947,"A","F",8,12
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",7,9
1941,"S","F",4,4
1942,"S","F",3,4
1943,"S","F",7,7
1944,"S","F",4,4
1945,"S","F",16,19
1946,"S","F",2,2
1947,"S","F",6,7
