"year","faculty","sex","survive","total"
1938,"M","M",7,12
1939,"M","M",15,21
1940,"M","M",14,20
1941,"M","M",18,27
1942,"M","M",34,48
1943,"M","M",21,27
1944,"M","M",25,42
1945,"M","M",8,12
1946,"M","M",18,27
1947,"M","M",24,37
1938,"A","M",17,33
1939,"A","M",16,26
1940,"A","M",24,41
1941,"A","M",8,16
1942,"A","M",8,11
1943,"A","M",15,21
1944,"A","M",9,12
1945,"A","M",5,6
1946,"A","M",0,0
1947,"A","M",17,27
1938,"S","M",10,11
1939,"S","M",11,12
1940,"S","M",19,29
1941,"S","M",14,17
1942,"S","M",20,27
1943,"S","M",15,24
1944,"S","M",26,33
1945,"S","M",31,42
1946,"S","M",2,5
1947,"S","M",24,26
1938,"E","M",8,12
1939,"E","M",11,14
1940,"E","M",14,22
1941,"E","M",6,9
1942,"E","M",7,10
1943,"E","M",2,2
1944,"E","M",16,18
1945,"E","M",18,24
1946,"E","M",0,0
1947,"E","M",27,33
1938,"A","F",15,19
1939,"A","F",9,11
1940,"A","F",6,9
1941,"A","F",13,19
1942,"A","F",7,7
1943,"A","F",10,10
1944,"A","F",15,20
1945,"A","F",20,23
1946,"A","F",1,2
1947,"A","F",12,14
1938,"S","F",1,1
1939,"S","F",1,1
1940,"S","F",7,7
1941,"S","F",2,2
1942,"S","F",3,4
1943,"S","F",5,6
1944,"S","F",4,5
1945,"S","F",9,12
1946,"S","F",1,1
1947,"S","F",6,6
