"year","faculty","sex","survive","total"
1938,"M","M",15,25
1939,"M","M",14,23
1940,"M","M",11,17
1941,"M","M",19,34
1942,"M","M",30,49
1943,"M","M",11,20
1944,"M","M",23,35
1945,"M","M",11,17
1946,"M","M",20,31
1947,"M","M",22,35
1938,"A","M",22,35
1939,"A","M",15,18
1940,"A","M",12,29
1941,"A","M",10,16
1942,"A","M",7,12
1943,"A","M",7,13
1944,"A","M",13,18
1945,"A","M",6,10
1946,"A","M",0,0
1947,"A","M",15,22
1938,"S","M",11,14
1939,"S","M",5,7
1940,"S","M",14,20
1941,"S","M",10,15
1942,"S","M",19,22
1943,"S","M",10,14
1944,"S","M",25,34
1945,"S","M",36,44
1946,"S","M",3,4
1947,"S","M",21,27
1938,"E","M",6,10
1939,"E","M",13,14
1940,"E","M",9,15
1941,"E","M",5,6
1942,"E","M",6,6
1943,"E","M",1,4
1944,"E","M",17,24
1945,"E","M",14,21
1946,"E","M",0,0
1947,"E","M",31,37
1938,"A","F",11,15
1939,"A","F",10,11
1940,"A","F",15,21
1941,"A","F",22,26
1942,"A","F",5,6
1943,"A","F",5,6
1944,"A","F",16,25
1945,"A","F",29,34
1946,"A","F",2,2
1947,"A","F",13,17
1938,"S","F",1,2
1939,"S","F",1,1
1940,"S","F",7,8
1941,"S","F",6,6
1942,"S","F",4,6
1943,"S","F",12,15
1944,"S","F",4,4
1945,"S","F",14,15
1946,"S","F",1,1
1947,"S","F",10,11
