"year","faculty","sex","survive","total"
1938,"M","M",12,26
1939,"M","M",23,37
1940,"M","M",8,19
1941,"M","M",20,28
1942,"M","M",26,38
1943,"M","M",11,15
1944,"M","M",29,37
1945,"M","M",8,14
1946,"M","M",20,33
1947,"M","M",19,28
1938,"A","M",14,22
1939,"A","M",9,16
1940,"A","M",10,21
1941,"A","M",6,10
1942,"A","M",4,7
1943,"A","M",10,21
1944,"A","M",7,9
1945,"A","M",13,15
1946,"A","M",0,0
1947,"A","M",15,26
1938,"S","M",8,9
1939,"S","M",12,16
1940,"S","M",15,20
1941,"S","M",11,16
1942,"S","M",26,34
1943,"S","M",13,22
1944,"S","M",34,42
1945,"S","M",33,44
1946,"S","M",3,4
1947,"S","M",18,25
1938,"E","M",14,20
1939,"E","M",8,11
1940,"E","M",10,14
1941,"E","M",7,13
1942,"E","M",7,8
1943,"E","M",2,2
1944,"E","M",21,25
1945,"E","M",16,21
1946,"E","M",0,0
1947,"E","M",32,39
1938,"A","F",15,18
1939,"A","F",15,20
1940,"A","F",15,17
1941,"A","F",13,17
1942,"A","F",6,9
1943,"A","F",11,15
1944,"A","F",15,18
1945,"A","F",13,19
1946,"A","F",1,1
1947,"A","F",14,18
1938,"S","F",2,2
1939,"S","F",2,2
1940,"S","F",3,4
1941,"S","F",5,5
1942,"S","F",5,6
1943,"S","F",6,7
1944,"S","F",3,5
1945,"S","F",12,13
1946,"S","F",1,1
1947,"S","F",10,11
