"HC","CO","NOX"
0.35,6.95,0.8
0.7,14.13,0.82
0.47,11.52,0.62
0.31,3.95,1.04
0.18,1.27,0.89
0.17,0.82,1.41
0.31,2.14,0.86
0.59,10.49,1.36
0.5,5.88,1.28
0.35,5.57,0.92
0.34,6.25,1.42
0.55,4.76,1.84
0.26,1.29,1.05
0.29,3.37,0.65
0.5,7.14,1.24
0.14,0.18,1.84
0.15,9.55,1.89
0.51,7,1.46
0.77,18.03,0.37
0.53,10.07,0.88
0.19,8.37,1.43
0.49,12.94,1.05
0.08,8.71,1.34
0.19,8.58,1.5
0.1,1.52,0.88
0.37,6.84,0.98
0.45,5.05,1.86
0.12,7.42,1.4
0.33,6.22,0.81
0.34,8.87,1.47
0.16,8.71,1.35
0.25,7.5,1.53
0.3,5.99,1.3
0.14,14.06,1.65
0.35,4.28,1.27
0.53,8.17,0.99
0.65,12.85,0.32
0.64,11.6,0.2
0.42,7.75,1.21
0.34,6.16,0.34
0.41,7.97,0.95
0.23,3.05,0.85
0.39,6.3,1.07
0.09,9.79,1.3
0.29,6.11,1.36
0.21,6.83,1.28
0.32,9.68,1.88
0.49,9.04,0.98
0.51,8.15,1.26
0.2,8.15,1.71
0.53,5.12,1.8
0.44,10.04,1.11
0.32,4.68,0.55
0.35,3.55,0.6
0.44,3.11,1.71
0.41,6.4,0.5
0.34,3.03,0.91
0.66,15.03,1.32
0.15,5.7,1.92
0.4,2.82,1.34
0.49,9,0.35
0.36,3.3,1.53
0.28,5.48,0.53
0.14,2.1,0.34
0.47,8.97,1.09
0.46,6.58,1.62
0.22,3.23,1.42
0.29,6.52,1.31
0.19,6.91,0.99
0.36,1.74,1.63
0.13,3.14,1.24
0.28,5.19,1.56
0.48,8.33,1.6
0.47,11.59,1.08
0.41,6.1,1.13
0.5,10.32,0.65
0.06,6.48,1.62
0.36,5.75,0.96
0.44,4.72,2.13
0.28,5.96,1.39
0.32,2.56,0.94
0.38,6.48,0.86
0.51,8.29,1.28
0.28,4.29,1.47
0.45,9.1,0.35
0.36,4.72,1.42
0.45,9.91,0.51
0.31,6.39,1.22
0.04,9.57,1.67
0.69,16.87,0.06
0.54,12,1.65
0.63,12.17,0.38
0.62,11.03,0.84
0.21,2.62,1.19
0.37,3.88,0.92
0.58,10.7,1.24
0.57,10.22,1.13
0.31,5.41,0.61
0.5,2.91,1.62
0.11,7.24,1.94
