"year","faculty","sex","survive","total"
1938,"M","M",12,17
1939,"M","M",18,29
1940,"M","M",6,13
1941,"M","M",12,24
1942,"M","M",42,62
1943,"M","M",14,18
1944,"M","M",19,29
1945,"M","M",5,12
1946,"M","M",28,35
1947,"M","M",29,43
1938,"A","M",14,27
1939,"A","M",11,18
1940,"A","M",16,25
1941,"A","M",11,14
1942,"A","M",9,12
1943,"A","M",14,22
1944,"A","M",8,9
1945,"A","M",5,9
1946,"A","M",0,0
1947,"A","M",22,31
1938,"S","M",6,9
1939,"S","M",5,7
1940,"S","M",14,17
1941,"S","M",14,19
1942,"S","M",16,20
1943,"S","M",20,24
1944,"S","M",20,28
1945,"S","M",31,37
1946,"S","M",3,4
1947,"S","M",27,31
1938,"E","M",14,18
1939,"E","M",14,14
1940,"E","M",12,15
1941,"E","M",13,14
1942,"E","M",2,3
1943,"E","M",1,1
1944,"E","M",6,10
1945,"E","M",18,28
1946,"E","M",0,0
1947,"E","M",16,21
1938,"A","F",12,17
1939,"A","F",9,13
1940,"A","F",13,15
1941,"A","F",20,21
1942,"A","F",16,16
1943,"A","F",7,11
1944,"A","F",10,11
1945,"A","F",23,27
1946,"A","F",1,1
1947,"A","F",14,21
1938,"S","F",1,1
1939,"S","F",2,4
1940,"S","F",6,6
1941,"S","F",3,3
1942,"S","F",3,3
1943,"S","F",6,6
1944,"S","F",1,2
1945,"S","F",23,25
1946,"S","F",1,1
1947,"S","F",10,10
