"HC","CO","NOX"
0.9,18.16,0.23
0.45,8.68,0.79
0.2,4.18,1.24
0.73,17.22,0.6
0.63,15.01,0.72
0.45,8.11,1.01
0.37,3.35,1.04
0.61,15.05,1.08
0.65,11.3,0.61
0.45,7.12,0.95
0.38,6.69,1.25
0.7,13.32,0.83
0.22,7.21,1.26
0.4,7.82,1.34
0.19,7.29,1.46
0.38,5.53,0.66
0.45,8.49,1.4
0.7,17.16,0.67
0.5,10.01,1.23
0.75,16.46,0.06
0.49,6.67,0.51
0.2,1.7,1.15
0.06,7.33,1.57
0.52,10.11,1.2
0.44,10.64,0.67
0.44,8.38,0.86
0.07,6.94,1.92
0.33,6.67,1.21
0.16,10.14,1.51
0.62,6.78,0.92
0.31,2.99,1.2
0.52,7.84,0.21
0.37,5.25,1.05
0.16,10.55,1.35
0.35,4.42,1.18
0.5,8.48,0.63
0.3,0.03,1.45
0.44,9.74,1.16
0.52,6.36,0.54
0.55,9.21,1.42
0.16,0.9,0.59
0.18,7.88,1.9
0.22,0.37,1.38
0.72,13.34,0.32
0.4,6.43,1.59
0.1,9.43,1.34
0.33,9.32,0.82
0.36,3.04,1.31
0.35,6.47,0.72
0.02,9.27,1.24
0.32,6.02,1.13
0.68,11.71,1.04
0.51,12.17,0.87
0.47,8.97,0.93
0.51,9.76,0.2
0.14,2.54,1.07
0.25,0.53,2.08
0.33,3.43,1.18
0.15,5.5,1.78
0.36,4.11,1.02
0.53,5.68,1.39
0.26,6.94,1.29
0.32,3.42,1.25
0.61,12.92,0.78
0.47,10.91,1.18
0.63,13.52,1.14
0.48,9.34,0.63
0.61,11.89,0.92
0.26,0.64,1.13
0.15,10.01,2.29
0.21,10.74,1.92
0.49,11.56,0.73
0.48,7.09,1.42
0.5,8.49,1
0.4,11.91,1.62
0.47,10.17,1.39
0.34,5.14,0.93
0.19,2.34,1.33
0.59,9.17,1.29
0.27,0.92,1.04
0.37,4.85,1.06
0.29,4.54,1.1
0.31,4.75,1.12
0.23,5.97,1.31
0.44,7.93,0.89
0.63,12.22,0.04
0.58,12.98,1.03
0.4,4.96,1.05
0.37,4.87,0.71
0.35,3.92,1.39
0.2,8.66,1.84
0.07,8.64,1.51
0.38,4.83,1.66
0.3,2.4,1.81
0.51,13.7,1.01
0.42,4.67,1.35
0.43,5.91,0.49
0.65,10.25,0.69
0.33,4.44,1.54
0.36,5.4,1.31
