"year","faculty","sex","survive","total"
1938,"M","M",18,23
1939,"M","M",19,31
1940,"M","M",6,11
1941,"M","M",16,26
1942,"M","M",37,52
1943,"M","M",9,15
1944,"M","M",25,35
1945,"M","M",6,8
1946,"M","M",27,43
1947,"M","M",21,30
1938,"A","M",13,27
1939,"A","M",13,17
1940,"A","M",10,16
1941,"A","M",7,11
1942,"A","M",9,14
1943,"A","M",11,19
1944,"A","M",7,10
1945,"A","M",6,9
1946,"A","M",0,0
1947,"A","M",17,25
1938,"S","M",12,15
1939,"S","M",6,9
1940,"S","M",21,27
1941,"S","M",9,12
1942,"S","M",25,36
1943,"S","M",19,21
1944,"S","M",23,34
1945,"S","M",26,41
1946,"S","M",3,3
1947,"S","M",30,37
1938,"E","M",11,18
1939,"E","M",9,11
1940,"E","M",9,12
1941,"E","M",5,6
1942,"E","M",10,10
1943,"E","M",2,3
1944,"E","M",15,19
1945,"E","M",18,26
1946,"E","M",0,0
1947,"E","M",35,43
1938,"A","F",10,15
1939,"A","F",10,16
1940,"A","F",15,19
1941,"A","F",22,26
1942,"A","F",10,13
1943,"A","F",17,19
1944,"A","F",17,20
1945,"A","F",22,26
1946,"A","F",1,1
1947,"A","F",18,25
1938,"S","F",1,1
1939,"S","F",4,5
1940,"S","F",9,10
1941,"S","F",2,3
1942,"S","F",2,3
1943,"S","F",2,3
1944,"S","F",10,10
1945,"S","F",15,17
1946,"S","F",1,1
1947,"S","F",9,11
