"year","faculty","sex","survive","total"
1938,"M","M",10,22
1939,"M","M",17,25
1940,"M","M",14,22
1941,"M","M",18,28
1942,"M","M",23,39
1943,"M","M",16,23
1944,"M","M",18,30
1945,"M","M",11,15
1946,"M","M",22,40
1947,"M","M",32,40
1938,"A","M",13,26
1939,"A","M",12,23
1940,"A","M",23,30
1941,"A","M",7,12
1942,"A","M",11,14
1943,"A","M",9,13
1944,"A","M",8,15
1945,"A","M",7,15
1946,"A","M",0,0
1947,"A","M",14,18
1938,"S","M",12,17
1939,"S","M",6,6
1940,"S","M",14,21
1941,"S","M",11,16
1942,"S","M",16,19
1943,"S","M",17,21
1944,"S","M",22,28
1945,"S","M",32,40
1946,"S","M",2,2
1947,"S","M",15,20
1938,"E","M",14,18
1939,"E","M",14,14
1940,"E","M",15,23
1941,"E","M",6,6
1942,"E","M",8,12
1943,"E","M",1,1
1944,"E","M",13,17
1945,"E","M",17,21
1946,"E","M",0,0
1947,"E","M",33,43
1938,"A","F",18,21
1939,"A","F",13,17
1940,"A","F",14,19
1941,"A","F",18,19
1942,"A","F",2,7
1943,"A","F",10,12
1944,"A","F",22,26
1945,"A","F",10,12
1946,"A","F",2,2
1947,"A","F",11,13
1938,"S","F",2,2
1939,"S","F",5,5
1940,"S","F",1,3
1941,"S","F",2,2
1942,"S","F",1,1
1943,"S","F",10,12
1944,"S","F",4,4
1945,"S","F",19,22
1946,"S","F",1,1
1947,"S","F",10,11
