"year","faculty","sex","survive","total"
1938,"M","M",15,21
1939,"M","M",16,28
1940,"M","M",8,13
1941,"M","M",17,24
1942,"M","M",34,52
1943,"M","M",15,25
1944,"M","M",15,32
1945,"M","M",6,13
1946,"M","M",26,40
1947,"M","M",27,40
1938,"A","M",15,28
1939,"A","M",11,21
1940,"A","M",15,24
1941,"A","M",6,9
1942,"A","M",9,14
1943,"A","M",16,22
1944,"A","M",6,11
1945,"A","M",11,18
1946,"A","M",0,0
1947,"A","M",15,20
1938,"S","M",7,13
1939,"S","M",4,10
1940,"S","M",14,18
1941,"S","M",10,15
1942,"S","M",20,28
1943,"S","M",21,23
1944,"S","M",17,24
1945,"S","M",30,35
1946,"S","M",1,3
1947,"S","M",29,37
1938,"E","M",17,22
1939,"E","M",12,14
1940,"E","M",17,22
1941,"E","M",13,18
1942,"E","M",10,12
1943,"E","M",3,3
1944,"E","M",16,18
1945,"E","M",13,19
1946,"E","M",0,0
1947,"E","M",19,32
1938,"A","F",15,18
1939,"A","F",7,12
1940,"A","F",19,22
1941,"A","F",23,28
1942,"A","F",4,5
1943,"A","F",4,4
1944,"A","F",12,17
1945,"A","F",17,19
1946,"A","F",2,3
1947,"A","F",18,23
1938,"S","F",2,2
1939,"S","F",3,4
1940,"S","F",5,6
1941,"S","F",2,3
1942,"S","F",4,4
1943,"S","F",9,13
1944,"S","F",5,5
1945,"S","F",14,17
1946,"S","F",2,2
1947,"S","F",13,13
