"HC","CO","NOX"
0.5,10.15,1.31
0.43,9.14,1.1
0.33,2.69,0.94
0.14,9.11,1.97
0.48,5.94,0.91
0.14,6.41,1.39
0.44,8.48,1.3
0.22,4.25,2.34
0.51,9.11,1.27
0.75,17.03,0.46
0.14,5.22,1.41
0.37,5.54,1.35
0.22,0.84,1.3
0.72,13.37,0.98
0.38,7.33,0.93
0.53,8.83,0.65
0.84,8.6,1.46
0.16,7.98,1.81
0.63,12.86,0.33
0.48,7.9,1.13
0.45,7.45,1.05
0.45,10.5,0.91
0.17,5.87,1.66
0.4,2.48,0.98
0.37,4.86,1.12
0.16,1.47,0.98
0.45,6.63,1.02
0.4,5.4,1.16
0.49,7.84,0.64
0.26,7.65,1.26
0.45,8.79,1.29
0.35,7.32,1.38
0.35,4.35,0.88
0.47,10.27,0.5
0.22,2.63,0.91
0.32,1.91,0.8
0.3,2.76,1
0.5,5.3,1.31
0.34,1.35,1.41
0.22,8.54,1.72
0.61,12.02,0.43
0.47,9.88,1.26
0.51,8.81,1.08
0.4,6.37,1.53
0.28,8.61,1.77
0.7,16.02,0.48
0.33,0.52,1.25
0.26,0.56,1.3
0.29,5.62,1.2
0.24,6.58,1.23
0.21,2.07,0.78
0.38,5.82,0.96
0.36,9.65,2.1
0.24,1.48,1.31
0.54,8.43,1.61
0.48,7.33,0.74
0.46,6.74,1.07
0.42,6.86,0.84
0.38,5.15,0.74
0.38,2.4,1.29
0.42,6.21,1.45
0.19,0.16,1.51
0.48,7.71,1.33
0.15,9.14,1.06
0.47,12.94,0.01
0.24,2.43,1.13
0.41,7.27,0.64
0.46,4.05,1.71
0.54,7.52,1.06
0.16,7.2,1.71
0.67,13.78,0.45
0.63,14.39,0.34
0.68,12.48,0.89
0.5,11.65,0.15
0.11,8.36,1.6
0.36,5.51,0.8
0.43,6.91,1.46
0.03,8,1.42
0.14,1.36,1.49
0.37,4.24,0.77
0.36,6.76,0.69
0.66,11,1
0.67,15.03,0.34
0.55,12.1,1.26
0.09,10.94,1.68
0.26,2.45,1.27
0.38,6.24,1.57
0.39,4.47,1.17
0.35,6.15,1.23
0.53,14.62,1.02
0.06,8.06,1.56
0.47,8.85,1.05
0.04,8.25,1.87
0.19,3.81,0.78
0.62,9.77,1.35
0.33,2.48,1.32
0.57,8.6,1.04
0.37,5.88,1.4
0.51,12.06,1
0.68,12.65,0.88
