"year","faculty","sex","survive","total"
1938,"M","M",15,23
1939,"M","M",14,21
1940,"M","M",10,15
1941,"M","M",15,24
1942,"M","M",24,42
1943,"M","M",18,22
1944,"M","M",26,40
1945,"M","M",12,18
1946,"M","M",26,39
1947,"M","M",27,40
1938,"A","M",22,32
1939,"A","M",11,19
1940,"A","M",11,26
1941,"A","M",4,5
1942,"A","M",6,9
1943,"A","M",23,35
1944,"A","M",4,10
1945,"A","M",11,14
1946,"A","M",0,0
1947,"A","M",10,14
1938,"S","M",8,10
1939,"S","M",10,16
1940,"S","M",16,23
1941,"S","M",9,13
1942,"S","M",18,23
1943,"S","M",16,20
1944,"S","M",26,36
1945,"S","M",24,36
1946,"S","M",3,3
1947,"S","M",35,45
1938,"E","M",4,11
1939,"E","M",9,13
1940,"E","M",13,19
1941,"E","M",4,6
1942,"E","M",8,9
1943,"E","M",1,1
1944,"E","M",13,18
1945,"E","M",14,15
1946,"E","M",0,0
1947,"E","M",28,35
1938,"A","F",15,21
1939,"A","F",10,11
1940,"A","F",14,17
1941,"A","F",13,18
1942,"A","F",5,7
1943,"A","F",7,13
1944,"A","F",15,16
1945,"A","F",14,20
1946,"A","F",1,1
1947,"A","F",15,21
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",6,6
1941,"S","F",2,2
1942,"S","F",4,5
1943,"S","F",9,10
1944,"S","F",2,3
1945,"S","F",16,16
1946,"S","F",1,1
1947,"S","F",6,7
