"HC","CO","NOX"
0.1,5.1,1.41
0.63,14.76,0.46
0.35,5.65,0.39
0.3,5.17,1.64
0.73,14.81,0.49
0.34,5.67,1.48
0.44,10.72,1.04
0.34,6.04,1.17
0.39,0.57,1.94
0.2,0.71,1.56
0.31,6.11,1.34
0.62,10.51,1.02
0.29,3.58,0.94
0.51,12.32,0.47
0.35,2.82,0.98
0.25,9.18,1.51
0.47,8.08,1.22
0.22,9.41,2.48
0.11,7.96,1.14
0.32,4.1,0.92
0.49,9.54,0.84
0.85,23.29,0.24
0.44,5.3,1.45
0.37,4.86,1.32
0.52,14.64,1.4
0.31,6.15,0.71
0.15,2.04,1.75
0.43,6.63,2.59
0.69,19.09,0.62
0.52,8.04,1.26
0.33,8.98,1.14
0.52,7.57,1.29
0.32,2.69,0.85
0.38,7.16,1.03
0.44,1.49,1.15
0.14,7.25,2.01
0.19,6.94,1.34
0.46,4.06,1.43
0.63,14.93,1.31
0.54,10.5,1.09
0.18,7.48,1.24
0.39,6.54,0.14
0.26,2.39,1.06
0.12,1.47,0.82
0.51,9.28,0.85
0.37,10.73,0.8
0.36,2.73,1.6
0.61,12.73,0.83
0.43,7.72,1.25
0.4,8.26,0.71
0.36,6.36,1.19
0.58,13.45,1.19
0.4,8.01,1.51
0.65,13.46,0.4
0.54,9.62,0.87
0.22,0.89,1.94
0.25,2.39,1.49
0.52,7.41,1.47
0.48,8.23,1.17
0.45,10.65,0.39
0.42,5.71,1.02
0.36,2.83,0.79
0.48,10.37,0.47
0.48,10.7,0.91
0.45,8.46,1.33
0.36,2.86,1.79
0.33,1.35,1.63
0.55,10.21,0.64
0.26,4.28,1.42
0.3,4.76,0.81
0.35,0.75,1.59
0.28,2.77,1.17
0.49,6.38,1.37
0.11,6.7,1.74
0.28,0.41,2.18
0.23,1.81,1.1
0.5,6.5,1.74
0.18,3,0.85
0.54,7.67,0.62
0.38,6.01,0.93
0.27,4.85,0.97
0.4,7.87,1.28
0.47,8.47,0.71
0.49,5.81,0.73
0.37,5.33,1.35
0.63,12.58,0.25
0.66,15.89,1.23
0.2,0.37,1.52
0.52,12.69,0.54
0.13,8.68,1.6
0.28,0.31,1.52
0.5,9.57,1.43
0.42,3.42,1.73
0.52,9.65,1.32
0.31,0.29,1.83
0.16,0.74,1.03
0.18,8.92,1.81
0.32,8.16,1.15
0.61,13.85,0.11
0.53,8,1.44
