"HC","CO","NOX"
0.44,3.82,1.38
0.57,11.93,0.41
0.4,6.32,1.65
0.27,1.42,1.3
0.5,9.49,0.76
0.57,11.6,0.55
0.42,4.11,1.42
0.17,0.63,0.7
0.09,8.18,1.21
0.52,9.4,0.87
0.37,6.4,1.49
0.44,6.34,0.81
0.23,3.31,1.52
0.35,3.72,1.65
0.58,9.37,1.23
0.2,3.24,0.9
0.66,11.5,1.21
0.43,6.68,1.05
0.44,4.05,1.29
0.41,7.74,0.89
0.3,2.23,1.54
0.2,0.73,1.81
0.42,10.91,1.05
0.54,6.89,1.88
0.63,14.21,0.83
0.45,8.66,1.06
0.3,3.21,1.67
0.26,1.12,1.68
0.18,7.65,1.4
0.36,6.86,0.83
0.26,5.12,1
0.22,8.18,1.33
0.67,13.75,0.8
0.28,3.5,1.23
0.1,8.39,1.34
0.28,2.03,1.9
0.3,2.3,1.6
0.35,5.32,0.76
0.47,7.93,0.67
0.23,0.19,1.16
0.16,7.04,1.35
0.43,4.37,1.89
0.6,9.34,1.3
0.53,10.74,0.78
0.54,10.75,0.69
0.41,5.25,1.59
0.62,9.45,1.07
0.51,5.37,1.03
0.47,4.14,1.73
0.09,0.14,0.84
0.57,9.5,1.15
0.53,8.4,1.06
0.27,1.9,1.51
0.34,2.96,0.97
0.37,3.67,1.37
0.39,6.67,0.85
0.53,10.96,1.33
0.21,6.26,1.77
0.35,3.31,1.37
0.58,9.54,0.62
0.35,4.37,1.1
0.06,7.98,1.6
0.7,12.38,0.98
0.23,8.85,2.05
0.4,6.99,0.97
0.29,1.97,1.75
0.62,11.57,0.07
0.58,10.52,0.59
0.73,14.67,0.54
0.28,1.37,0.99
0.36,4.72,1.41
0.41,4.79,1.22
0.31,1.48,1.13
0.26,0.58,1.8
0.33,5.22,1.32
0.03,7.63,1.64
0.34,3.43,1.36
0.27,3.57,1.3
0.56,10.94,1.26
0.6,12.2,0.51
0.26,0.64,2.24
0.35,5.14,0.87
0.54,5.44,1.02
0.43,8.06,1.49
0.72,16.54,0.44
0.42,3.39,0.57
0.25,2.23,1.11
0.48,5.13,1.26
0.13,0.63,0.84
0.56,6.27,0.34
0.41,5.63,1.51
0.22,8.76,1.47
0.35,2.43,1.4
0.49,4.05,1.15
0.49,8.93,0.12
0.57,8.38,1.09
0.72,12.02,0.55
0.66,15.94,0.37
0.34,6.88,0.7
0.72,16.27,0.07
