"year","faculty","sex","survive","total"
1938,"M","M",6,10
1939,"M","M",14,25
1940,"M","M",10,18
1941,"M","M",25,35
1942,"M","M",35,53
1943,"M","M",17,22
1944,"M","M",25,34
1945,"M","M",16,20
1946,"M","M",28,41
1947,"M","M",18,28
1938,"A","M",17,26
1939,"A","M",12,22
1940,"A","M",16,24
1941,"A","M",11,13
1942,"A","M",4,8
1943,"A","M",7,17
1944,"A","M",4,9
1945,"A","M",10,12
1946,"A","M",0,0
1947,"A","M",11,18
1938,"S","M",5,9
1939,"S","M",11,15
1940,"S","M",13,14
1941,"S","M",11,13
1942,"S","M",21,30
1943,"S","M",14,16
1944,"S","M",26,36
1945,"S","M",26,33
1946,"S","M",6,7
1947,"S","M",22,29
1938,"E","M",17,19
1939,"E","M",10,14
1940,"E","M",9,14
1941,"E","M",6,10
1942,"E","M",2,2
1943,"E","M",1,1
1944,"E","M",17,26
1945,"E","M",21,26
1946,"E","M",0,0
1947,"E","M",36,44
1938,"A","F",18,26
1939,"A","F",16,18
1940,"A","F",18,22
1941,"A","F",17,21
1942,"A","F",7,10
1943,"A","F",9,12
1944,"A","F",18,23
1945,"A","F",19,24
1946,"A","F",1,1
1947,"A","F",8,10
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",5,7
1941,"S","F",1,1
1942,"S","F",2,2
1943,"S","F",7,8
1944,"S","F",8,9
1945,"S","F",11,13
1946,"S","F",1,1
1947,"S","F",10,11
