"year","faculty","sex","survive","total"
1938,"M","M",13,27
1939,"M","M",11,24
1940,"M","M",11,17
1941,"M","M",16,27
1942,"M","M",35,52
1943,"M","M",19,24
1944,"M","M",26,35
1945,"M","M",9,13
1946,"M","M",23,32
1947,"M","M",29,46
1938,"A","M",21,33
1939,"A","M",14,22
1940,"A","M",19,31
1941,"A","M",20,25
1942,"A","M",6,9
1943,"A","M",10,21
1944,"A","M",12,20
1945,"A","M",10,17
1946,"A","M",0,0
1947,"A","M",10,17
1938,"S","M",11,12
1939,"S","M",13,14
1940,"S","M",16,19
1941,"S","M",14,17
1942,"S","M",16,25
1943,"S","M",17,23
1944,"S","M",26,33
1945,"S","M",28,37
1946,"S","M",8,10
1947,"S","M",20,25
1938,"E","M",11,17
1939,"E","M",11,17
1940,"E","M",6,10
1941,"E","M",5,5
1942,"E","M",5,5
1943,"E","M",1,1
1944,"E","M",12,15
1945,"E","M",19,26
1946,"E","M",0,0
1947,"E","M",37,45
1938,"A","F",24,28
1939,"A","F",11,18
1940,"A","F",19,23
1941,"A","F",18,25
1942,"A","F",8,11
1943,"A","F",10,12
1944,"A","F",19,21
1945,"A","F",29,33
1946,"A","F",1,1
1947,"A","F",12,17
1938,"S","F",2,2
1939,"S","F",5,7
1940,"S","F",5,5
1941,"S","F",2,3
1942,"S","F",2,3
1943,"S","F",4,4
1944,"S","F",4,6
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",12,13
