"year","faculty","sex","survive","total"
1938,"M","M",9,12
1939,"M","M",9,19
1940,"M","M",8,18
1941,"M","M",24,39
1942,"M","M",29,45
1943,"M","M",16,23
1944,"M","M",16,29
1945,"M","M",14,19
1946,"M","M",24,35
1947,"M","M",21,29
1938,"A","M",25,36
1939,"A","M",11,18
1940,"A","M",9,17
1941,"A","M",12,16
1942,"A","M",5,7
1943,"A","M",6,15
1944,"A","M",5,11
1945,"A","M",5,8
1946,"A","M",0,0
1947,"A","M",28,34
1938,"S","M",10,13
1939,"S","M",9,13
1940,"S","M",20,23
1941,"S","M",12,21
1942,"S","M",22,30
1943,"S","M",21,24
1944,"S","M",18,27
1945,"S","M",23,28
1946,"S","M",5,6
1947,"S","M",32,42
1938,"E","M",6,9
1939,"E","M",12,14
1940,"E","M",10,14
1941,"E","M",7,10
1942,"E","M",4,5
1943,"E","M",1,3
1944,"E","M",16,21
1945,"E","M",23,28
1946,"E","M",0,0
1947,"E","M",18,24
1938,"A","F",16,19
1939,"A","F",15,18
1940,"A","F",14,18
1941,"A","F",17,21
1942,"A","F",10,12
1943,"A","F",7,9
1944,"A","F",15,19
1945,"A","F",13,17
1946,"A","F",1,1
1947,"A","F",11,18
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",7,7
1941,"S","F",4,4
1942,"S","F",6,6
1943,"S","F",6,6
1944,"S","F",4,5
1945,"S","F",13,15
1946,"S","F",3,3
1947,"S","F",9,9
