"year","faculty","sex","survive","total"
1938,"M","M",16,27
1939,"M","M",13,21
1940,"M","M",4,8
1941,"M","M",19,28
1942,"M","M",32,48
1943,"M","M",12,24
1944,"M","M",18,26
1945,"M","M",8,14
1946,"M","M",27,36
1947,"M","M",30,42
1938,"A","M",21,34
1939,"A","M",9,19
1940,"A","M",15,21
1941,"A","M",10,18
1942,"A","M",4,6
1943,"A","M",17,23
1944,"A","M",5,7
1945,"A","M",12,15
1946,"A","M",0,0
1947,"A","M",9,23
1938,"S","M",9,11
1939,"S","M",6,8
1940,"S","M",16,24
1941,"S","M",8,10
1942,"S","M",32,39
1943,"S","M",18,24
1944,"S","M",22,26
1945,"S","M",31,44
1946,"S","M",4,6
1947,"S","M",15,22
1938,"E","M",6,12
1939,"E","M",6,8
1940,"E","M",12,19
1941,"E","M",11,13
1942,"E","M",4,5
1943,"E","M",2,3
1944,"E","M",14,20
1945,"E","M",23,25
1946,"E","M",0,0
1947,"E","M",30,38
1938,"A","F",19,27
1939,"A","F",19,23
1940,"A","F",25,32
1941,"A","F",17,23
1942,"A","F",5,9
1943,"A","F",11,15
1944,"A","F",16,23
1945,"A","F",27,32
1946,"A","F",1,2
1947,"A","F",8,10
1938,"S","F",2,2
1939,"S","F",6,7
1940,"S","F",6,7
1941,"S","F",4,4
1942,"S","F",3,3
1943,"S","F",7,7
1944,"S","F",6,8
1945,"S","F",9,10
1946,"S","F",4,4
1947,"S","F",8,12
