"year","faculty","sex","survive","total"
1938,"M","M",17,23
1939,"M","M",15,28
1940,"M","M",15,23
1941,"M","M",17,25
1942,"M","M",38,55
1943,"M","M",11,19
1944,"M","M",22,34
1945,"M","M",9,12
1946,"M","M",31,36
1947,"M","M",28,41
1938,"A","M",20,27
1939,"A","M",8,16
1940,"A","M",15,25
1941,"A","M",10,18
1942,"A","M",8,13
1943,"A","M",7,11
1944,"A","M",5,7
1945,"A","M",5,10
1946,"A","M",0,0
1947,"A","M",25,33
1938,"S","M",13,18
1939,"S","M",10,15
1940,"S","M",14,20
1941,"S","M",11,16
1942,"S","M",25,30
1943,"S","M",11,16
1944,"S","M",18,23
1945,"S","M",31,38
1946,"S","M",3,3
1947,"S","M",28,39
1938,"E","M",11,16
1939,"E","M",8,9
1940,"E","M",9,16
1941,"E","M",11,12
1942,"E","M",4,7
1943,"E","M",1,1
1944,"E","M",18,20
1945,"E","M",18,25
1946,"E","M",0,0
1947,"E","M",31,43
1938,"A","F",18,23
1939,"A","F",15,18
1940,"A","F",16,20
1941,"A","F",15,20
1942,"A","F",4,6
1943,"A","F",9,14
1944,"A","F",11,13
1945,"A","F",17,26
1946,"A","F",2,2
1947,"A","F",12,13
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",4,5
1941,"S","F",2,2
1942,"S","F",5,5
1943,"S","F",5,5
1944,"S","F",5,5
1945,"S","F",12,13
1946,"S","F",3,3
1947,"S","F",9,9
