"HC","CO","NOX"
0.32,3.87,1.19
0.12,4.84,1.84
0.47,8.96,1.01
0.4,8.14,1.11
0.51,13.6,0.64
0.25,3.25,0.91
0.52,8.54,0.67
0.71,8.48,1.28
0.47,8.49,0.35
0.36,5.62,1.34
0.28,3.65,1.18
0.82,17.83,0.56
0.41,4.02,1.37
0.6,16.49,0.6
0.28,2.4,1.16
0.38,7.49,0.52
0.65,11.37,0.77
0.25,6.27,1.01
0.32,5.88,1.16
0.04,9.93,1.72
0.21,6.93,1.79
0.26,1.18,1.32
0.33,8.19,0.32
0.62,11,1.3
0.57,9.02,0.79
0.14,5.78,1.44
0.25,7.86,1.25
0.4,11.83,0.37
0.7,16.92,0.22
0.44,8.4,1.26
0.38,10.96,0.66
0.48,7.13,1.49
0.67,13.36,0.46
0.41,3.42,1.89
0.65,16.22,0.38
0.17,2.03,1.28
0.44,7.14,1.47
0.35,3.27,1.63
0.4,0.24,1.7
0.32,2.04,1.39
0.4,9.84,0.81
0.21,7.23,1.63
0.41,5.56,1.54
0.53,10.27,0.94
0.4,4.43,1.35
0.64,15.06,0.49
0.39,1.68,1.73
0.34,4.37,1.27
0.46,5.77,0.69
0.72,14.27,1.1
0.48,8.86,0.98
0.64,13.8,0.55
0.57,10.88,1.15
0.44,8.96,1.12
0.72,15.02,0.38
0.6,12.04,1.27
0.4,10.01,0.15
0.48,7.53,1.61
0.77,16.55,0.03
0.34,4.91,1.03
0.73,21.71,0.72
0.3,6.15,1
0.52,7.93,0.94
0.49,8.11,1.94
0.72,16.16,0.55
0.39,4.62,1.57
0.29,2.81,1.25
0.44,7.92,1.04
0.41,8.17,1.52
0.51,8.3,1.04
0.05,6.61,1.43
0.26,1.29,1.46
0.35,4.27,1.3
0.35,4.28,1.17
0.48,8.07,1.05
0.02,9.79,1.39
0.35,4.81,1.26
0.54,10.15,0.53
0.55,11.98,0.57
0.31,1.49,1.31
0.34,4.43,0.61
0.74,16.05,0.13
0.26,0.45,0.99
0.74,12.89,0.47
0.52,8.69,1.75
0.45,11.86,0.79
0.58,8.15,1.27
0.38,8.98,1.19
0.3,6.17,0.52
0.3,10.3,1.56
0.36,7.39,0.47
0.77,15.88,1.02
0.73,14.33,0.87
0.69,13.43,0.54
0.37,4.24,0.87
0.84,16.27,0.73
0.39,6.17,0.75
0.64,15.6,0.41
0.08,1.32,1.23
0.32,6.3,0.7
