"year","faculty","sex","survive","total"
1938,"M","M",11,19
1939,"M","M",10,20
1940,"M","M",12,21
1941,"M","M",17,28
1942,"M","M",31,49
1943,"M","M",16,22
1944,"M","M",17,25
1945,"M","M",12,14
1946,"M","M",9,15
1947,"M","M",19,28
1938,"A","M",22,33
1939,"A","M",13,23
1940,"A","M",12,22
1941,"A","M",9,13
1942,"A","M",7,11
1943,"A","M",10,19
1944,"A","M",6,9
1945,"A","M",11,16
1946,"A","M",0,0
1947,"A","M",16,29
1938,"S","M",13,17
1939,"S","M",11,15
1940,"S","M",11,19
1941,"S","M",12,15
1942,"S","M",26,39
1943,"S","M",14,20
1944,"S","M",28,40
1945,"S","M",25,30
1946,"S","M",3,4
1947,"S","M",23,29
1938,"E","M",8,12
1939,"E","M",8,11
1940,"E","M",15,22
1941,"E","M",7,9
1942,"E","M",6,9
1943,"E","M",2,2
1944,"E","M",11,19
1945,"E","M",16,17
1946,"E","M",0,0
1947,"E","M",28,35
1938,"A","F",15,18
1939,"A","F",13,17
1940,"A","F",6,12
1941,"A","F",15,19
1942,"A","F",5,6
1943,"A","F",11,15
1944,"A","F",21,23
1945,"A","F",15,18
1946,"A","F",2,2
1947,"A","F",13,17
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",3,4
1941,"S","F",2,2
1942,"S","F",3,4
1943,"S","F",6,6
1944,"S","F",5,5
1945,"S","F",11,12
1946,"S","F",2,2
1947,"S","F",9,14
