"year","faculty","sex","survive","total"
1938,"M","M",11,20
1939,"M","M",10,19
1940,"M","M",14,18
1941,"M","M",10,25
1942,"M","M",30,47
1943,"M","M",18,29
1944,"M","M",20,32
1945,"M","M",7,14
1946,"M","M",19,30
1947,"M","M",21,33
1938,"A","M",9,25
1939,"A","M",15,23
1940,"A","M",17,28
1941,"A","M",7,11
1942,"A","M",5,9
1943,"A","M",10,13
1944,"A","M",5,10
1945,"A","M",8,12
1946,"A","M",0,0
1947,"A","M",12,19
1938,"S","M",14,20
1939,"S","M",5,8
1940,"S","M",14,20
1941,"S","M",12,17
1942,"S","M",34,42
1943,"S","M",13,19
1944,"S","M",33,40
1945,"S","M",21,30
1946,"S","M",1,2
1947,"S","M",19,30
1938,"E","M",11,13
1939,"E","M",9,11
1940,"E","M",8,12
1941,"E","M",6,9
1942,"E","M",1,2
1943,"E","M",1,2
1944,"E","M",19,24
1945,"E","M",16,21
1946,"E","M",0,0
1947,"E","M",30,43
1938,"A","F",18,26
1939,"A","F",11,17
1940,"A","F",11,15
1941,"A","F",13,15
1942,"A","F",5,6
1943,"A","F",15,16
1944,"A","F",16,19
1945,"A","F",20,25
1946,"A","F",1,1
1947,"A","F",15,17
1938,"S","F",1,2
1939,"S","F",3,5
1940,"S","F",3,4
1941,"S","F",3,3
1942,"S","F",5,5
1943,"S","F",8,8
1944,"S","F",5,6
1945,"S","F",11,15
1946,"S","F",1,1
1947,"S","F",10,13
