"year","faculty","sex","survive","total"
1938,"M","M",14,29
1939,"M","M",16,22
1940,"M","M",8,14
1941,"M","M",9,16
1942,"M","M",34,57
1943,"M","M",10,17
1944,"M","M",24,37
1945,"M","M",12,15
1946,"M","M",20,33
1947,"M","M",22,43
1938,"A","M",19,37
1939,"A","M",14,19
1940,"A","M",11,21
1941,"A","M",10,18
1942,"A","M",5,8
1943,"A","M",8,16
1944,"A","M",4,5
1945,"A","M",10,13
1946,"A","M",0,0
1947,"A","M",16,18
1938,"S","M",13,16
1939,"S","M",11,14
1940,"S","M",16,19
1941,"S","M",15,19
1942,"S","M",27,36
1943,"S","M",14,20
1944,"S","M",23,35
1945,"S","M",34,41
1946,"S","M",1,2
1947,"S","M",23,26
1938,"E","M",9,12
1939,"E","M",9,10
1940,"E","M",10,11
1941,"E","M",9,12
1942,"E","M",6,6
1943,"E","M",2,2
1944,"E","M",18,24
1945,"E","M",12,19
1946,"E","M",0,0
1947,"E","M",32,39
1938,"A","F",13,19
1939,"A","F",13,15
1940,"A","F",17,24
1941,"A","F",22,24
1942,"A","F",8,9
1943,"A","F",11,12
1944,"A","F",19,24
1945,"A","F",22,25
1946,"A","F",1,1
1947,"A","F",14,18
1938,"S","F",1,1
1939,"S","F",3,4
1940,"S","F",5,6
1941,"S","F",2,2
1942,"S","F",1,1
1943,"S","F",2,3
1944,"S","F",4,6
1945,"S","F",10,11
1946,"S","F",1,1
1947,"S","F",9,11
