"year","faculty","sex","survive","total"
1938,"M","M",12,20
1939,"M","M",11,19
1940,"M","M",6,12
1941,"M","M",11,21
1942,"M","M",32,46
1943,"M","M",20,23
1944,"M","M",25,43
1945,"M","M",11,18
1946,"M","M",19,34
1947,"M","M",29,39
1938,"A","M",18,27
1939,"A","M",17,26
1940,"A","M",18,32
1941,"A","M",13,22
1942,"A","M",12,14
1943,"A","M",11,20
1944,"A","M",6,12
1945,"A","M",11,15
1946,"A","M",0,0
1947,"A","M",18,29
1938,"S","M",3,4
1939,"S","M",11,11
1940,"S","M",17,20
1941,"S","M",10,15
1942,"S","M",23,28
1943,"S","M",20,24
1944,"S","M",22,34
1945,"S","M",38,48
1946,"S","M",4,4
1947,"S","M",28,39
1938,"E","M",17,21
1939,"E","M",6,9
1940,"E","M",17,26
1941,"E","M",7,7
1942,"E","M",9,12
1943,"E","M",3,3
1944,"E","M",18,25
1945,"E","M",20,24
1946,"E","M",0,0
1947,"E","M",37,44
1938,"A","F",15,17
1939,"A","F",15,20
1940,"A","F",19,23
1941,"A","F",10,16
1942,"A","F",6,7
1943,"A","F",8,11
1944,"A","F",20,21
1945,"A","F",20,25
1946,"A","F",1,3
1947,"A","F",10,13
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",5,6
1941,"S","F",1,1
1942,"S","F",2,3
1943,"S","F",6,10
1944,"S","F",3,3
1945,"S","F",13,14
1946,"S","F",1,1
1947,"S","F",11,11
