"year","faculty","sex","survive","total"
1938,"M","M",18,25
1939,"M","M",13,20
1940,"M","M",13,22
1941,"M","M",13,27
1942,"M","M",33,54
1943,"M","M",7,16
1944,"M","M",21,29
1945,"M","M",12,20
1946,"M","M",13,24
1947,"M","M",30,37
1938,"A","M",20,34
1939,"A","M",16,24
1940,"A","M",16,24
1941,"A","M",10,17
1942,"A","M",11,16
1943,"A","M",17,30
1944,"A","M",5,7
1945,"A","M",8,16
1946,"A","M",0,0
1947,"A","M",17,22
1938,"S","M",8,10
1939,"S","M",9,11
1940,"S","M",21,29
1941,"S","M",11,21
1942,"S","M",24,31
1943,"S","M",19,22
1944,"S","M",15,19
1945,"S","M",33,41
1946,"S","M",9,10
1947,"S","M",23,31
1938,"E","M",14,23
1939,"E","M",8,9
1940,"E","M",8,11
1941,"E","M",11,14
1942,"E","M",5,6
1943,"E","M",2,3
1944,"E","M",16,19
1945,"E","M",14,18
1946,"E","M",0,0
1947,"E","M",34,47
1938,"A","F",22,24
1939,"A","F",9,11
1940,"A","F",11,16
1941,"A","F",16,18
1942,"A","F",6,8
1943,"A","F",12,14
1944,"A","F",16,21
1945,"A","F",23,34
1946,"A","F",1,1
1947,"A","F",6,8
1938,"S","F",2,2
1939,"S","F",5,8
1940,"S","F",8,8
1941,"S","F",1,1
1942,"S","F",2,2
1943,"S","F",11,11
1944,"S","F",2,2
1945,"S","F",13,16
1946,"S","F",1,2
1947,"S","F",9,9
