"HC","CO","NOX"
0.49,8.49,0.97
0.22,4.33,1.3
0.25,3.27,0.95
0.79,6.24,1.6
0.29,2.89,1.04
0.43,8.27,0.73
0.44,8.84,0.8
0.54,8.51,1.07
0.49,6.21,0.46
0.22,0.68,1
0.3,2.45,1.6
0.44,3.21,1.63
0.45,5.15,1.35
0.4,5.23,0.81
0.49,8.61,1.11
0.25,1.17,1.47
0.48,6.65,0.55
0.41,5.87,1.83
0.56,9.22,1.35
0.12,0.04,1.19
0.87,18.37,0.35
0.09,1.41,1.57
0.31,3.77,1.23
0.59,13.67,0.1
0.28,2.01,1.56
0.42,10.22,0.7
0.6,9.24,0.81
0.63,14.86,0.56
0.51,12.79,1.04
0.64,7.92,1.79
0.35,7.07,1.24
0.4,8.8,1.04
0.45,6.94,1.19
0.47,8.36,0.71
0.41,7.67,1.12
0.61,17.17,0.2
0.5,13.77,0.13
0.65,11.35,0.8
0.38,6.41,0.63
0.32,2.18,1.17
0.3,6.31,0.97
0.2,1.51,1.43
0.4,6.85,1.18
0.65,13.44,1.07
0.41,4.87,1.93
0.59,8.33,1.32
0.57,10.16,0.96
0.33,1.35,0.54
0.29,5.74,0.95
0.29,5.41,1.16
0.3,4.16,1.61
0.66,13.51,1.34
0.3,4.19,0.66
0.59,10.22,0.85
0.36,5.49,0.86
0.42,3.22,1.44
0.55,15.24,0.57
0.36,3.47,1.33
0.19,7.27,1.71
0.47,7.21,1.09
0.48,9.8,1
0.31,7.26,1.27
0.36,7.4,1.35
0.51,8.84,1
0.52,8.31,1.47
0.45,6.19,0.51
0.51,12.37,0.45
0.27,2.57,1.18
0.27,2.94,1.71
0.29,9.02,1.78
0.27,0.98,1.52
0.56,9.51,1.12
0.47,8.45,1.2
0.06,8.34,1.84
0.09,8.06,1.48
0.45,10.26,1.08
0.71,17.16,0.15
0.31,3.32,1.51
0.56,8.67,1.25
0.32,6.59,1
0.17,0.58,1.97
0.43,5.27,0.99
0.54,6.02,1.04
0.25,4.97,0.31
0.31,0.62,1.63
0.44,7.41,1.19
0.57,13.11,0.57
0.13,3.57,0.55
0.38,3.59,1.05
0.17,11.12,1.6
0.35,4.58,1.31
0.3,0.04,2.02
0.53,10.34,1.46
0.23,0.93,1.34
0.15,8.84,1.67
0.16,10.19,1.06
0.37,7.73,1.89
0.46,8.36,1.04
0.19,7.27,1.76
0.55,13.21,0.72
