"HC","CO","NOX"
0.55,9.37,0.32
0.53,12.31,0.86
0.49,5.9,1.11
0.48,10.52,0.16
0.29,3.61,1.21
0.08,1.35,1.39
0.21,0.45,0.81
0.46,7.93,0.73
0.5,11.72,0.4
0.4,6.66,1.2
0.42,7.47,1.22
0.69,17.78,0.41
0.39,11.8,0.49
0.38,9.56,1.31
0.5,9.21,0.98
0.25,0.11,1.56
0.59,12.43,0.41
0.41,7.1,0.92
0.33,4.08,1.6
0.72,8.7,1.26
0.56,8.93,1.1
0.04,6.57,2.15
0.27,8.5,1.16
0.92,19.28,0.37
0.56,11.53,0.37
0.43,4.75,2.05
0.14,12.66,1.9
0.15,6.58,1.87
0.37,3.31,1.41
0.55,15.5,0.51
0.44,11.57,0.34
0.67,9.62,1.4
0.41,10.68,0.5
0.53,9.12,1.41
0.7,13.72,0.86
0.37,7.37,1.24
0.49,14.23,0.73
0.22,2.72,1.03
0.21,1.57,1.37
0.21,2.74,1.34
0.11,8.57,1.99
0.45,2.76,1.24
0.53,6.46,1.1
0.2,2.69,1.01
0.21,6.8,0.83
0.75,16.54,0.12
0.43,9.36,0.89
0.28,4.78,1.06
0.54,16.63,0.32
0.33,3.36,1.24
0.41,6.2,1.07
0.44,6.78,1.01
0.76,16.3,0.54
0.3,9.58,1.69
0.35,1.94,1.79
0.35,1.24,1.58
0.47,9.15,0.47
0.27,4.57,1.47
0.22,0.95,1.61
0.66,16.6,1.96
0.27,3.56,1.11
0.29,4.43,1.15
0.47,6.41,0.76
0.38,5.54,1.51
0.37,4.81,1.22
0.18,10.04,1.56
0.39,10.21,1.28
0.38,7.93,1.04
0.37,3.13,1.14
1.02,24.05,1.41
0.52,7.33,0.8
0.46,9.53,1.13
0.27,6.59,1.89
0.23,5.67,1.62
0.36,5.1,1.11
0.39,4.38,1.11
0.54,5.84,0.97
0.66,12.12,0.03
0.53,7.87,1.25
0.38,5.36,0.75
0.48,5.67,1
0.3,0.66,1.67
0.65,14.53,0.78
0.14,5.14,1.59
0.14,0.77,1.42
0.11,0.4,1.6
0.12,7.86,1.91
0.47,5.56,0.54
0.32,9.01,1.67
0.38,8.75,0.78
0.34,9.63,0.8
0.42,6.51,0.57
0.32,15.61,1.51
0.4,6.29,1.09
0.58,5.44,1.44
0.63,15.21,0.39
0.21,5.59,0.96
0.47,6.29,0.57
0.54,11.82,0.76
0.5,6.39,0.66
