"year","faculty","sex","survive","total"
1938,"M","M",14,26
1939,"M","M",15,22
1940,"M","M",7,14
1941,"M","M",19,31
1942,"M","M",26,53
1943,"M","M",16,22
1944,"M","M",26,40
1945,"M","M",10,14
1946,"M","M",23,39
1947,"M","M",19,33
1938,"A","M",22,34
1939,"A","M",9,17
1940,"A","M",20,31
1941,"A","M",12,21
1942,"A","M",13,18
1943,"A","M",12,20
1944,"A","M",9,11
1945,"A","M",8,9
1946,"A","M",0,0
1947,"A","M",14,21
1938,"S","M",14,20
1939,"S","M",7,10
1940,"S","M",22,24
1941,"S","M",12,16
1942,"S","M",19,26
1943,"S","M",11,16
1944,"S","M",17,25
1945,"S","M",22,26
1946,"S","M",4,6
1947,"S","M",20,32
1938,"E","M",12,17
1939,"E","M",9,10
1940,"E","M",16,20
1941,"E","M",10,12
1942,"E","M",3,5
1943,"E","M",1,2
1944,"E","M",19,26
1945,"E","M",18,24
1946,"E","M",0,0
1947,"E","M",23,29
1938,"A","F",10,17
1939,"A","F",12,13
1940,"A","F",16,21
1941,"A","F",10,15
1942,"A","F",3,5
1943,"A","F",10,10
1944,"A","F",10,17
1945,"A","F",8,12
1946,"A","F",1,1
1947,"A","F",18,19
1938,"S","F",1,1
1939,"S","F",2,2
1940,"S","F",7,7
1941,"S","F",3,4
1942,"S","F",3,3
1943,"S","F",6,7
1944,"S","F",4,4
1945,"S","F",16,16
1946,"S","F",1,1
1947,"S","F",9,10
