"year","faculty","sex","survive","total"
1938,"M","M",23,37
1939,"M","M",9,21
1940,"M","M",13,20
1941,"M","M",20,27
1942,"M","M",34,50
1943,"M","M",11,25
1944,"M","M",24,32
1945,"M","M",6,10
1946,"M","M",27,40
1947,"M","M",30,37
1938,"A","M",21,30
1939,"A","M",14,25
1940,"A","M",13,24
1941,"A","M",7,13
1942,"A","M",11,19
1943,"A","M",12,20
1944,"A","M",5,6
1945,"A","M",11,18
1946,"A","M",0,0
1947,"A","M",12,23
1938,"S","M",8,9
1939,"S","M",5,6
1940,"S","M",12,19
1941,"S","M",8,14
1942,"S","M",23,30
1943,"S","M",8,16
1944,"S","M",25,31
1945,"S","M",24,34
1946,"S","M",3,3
1947,"S","M",25,31
1938,"E","M",12,16
1939,"E","M",3,4
1940,"E","M",10,14
1941,"E","M",5,9
1942,"E","M",6,7
1943,"E","M",1,1
1944,"E","M",14,19
1945,"E","M",27,34
1946,"E","M",0,0
1947,"E","M",32,43
1938,"A","F",15,18
1939,"A","F",12,19
1940,"A","F",14,19
1941,"A","F",14,17
1942,"A","F",4,7
1943,"A","F",11,13
1944,"A","F",15,20
1945,"A","F",13,18
1946,"A","F",1,1
1947,"A","F",9,10
1938,"S","F",2,2
1939,"S","F",3,3
1940,"S","F",4,5
1941,"S","F",4,4
1942,"S","F",5,6
1943,"S","F",12,13
1944,"S","F",5,5
1945,"S","F",20,25
1946,"S","F",1,1
1947,"S","F",4,5
