"year","faculty","sex","survive","total"
1938,"M","M",19,23
1939,"M","M",17,27
1940,"M","M",3,7
1941,"M","M",13,21
1942,"M","M",33,47
1943,"M","M",16,25
1944,"M","M",29,42
1945,"M","M",5,7
1946,"M","M",21,29
1947,"M","M",25,37
1938,"A","M",13,24
1939,"A","M",14,22
1940,"A","M",12,21
1941,"A","M",9,12
1942,"A","M",7,13
1943,"A","M",7,15
1944,"A","M",11,16
1945,"A","M",7,11
1946,"A","M",0,0
1947,"A","M",10,17
1938,"S","M",10,16
1939,"S","M",7,9
1940,"S","M",15,19
1941,"S","M",12,15
1942,"S","M",21,31
1943,"S","M",15,21
1944,"S","M",18,26
1945,"S","M",35,44
1946,"S","M",7,8
1947,"S","M",23,34
1938,"E","M",7,11
1939,"E","M",15,17
1940,"E","M",10,15
1941,"E","M",8,9
1942,"E","M",10,13
1943,"E","M",1,3
1944,"E","M",17,24
1945,"E","M",18,25
1946,"E","M",0,0
1947,"E","M",32,41
1938,"A","F",15,19
1939,"A","F",7,12
1940,"A","F",16,20
1941,"A","F",15,17
1942,"A","F",7,9
1943,"A","F",8,9
1944,"A","F",20,25
1945,"A","F",19,24
1946,"A","F",1,1
1947,"A","F",11,14
1938,"S","F",3,4
1939,"S","F",1,1
1940,"S","F",5,7
1941,"S","F",2,3
1942,"S","F",1,6
1943,"S","F",9,10
1944,"S","F",3,4
1945,"S","F",23,25
1946,"S","F",1,1
1947,"S","F",9,9
