"year","faculty","sex","survive","total"
1938,"M","M",12,25
1939,"M","M",13,20
1940,"M","M",6,10
1941,"M","M",15,25
1942,"M","M",33,46
1943,"M","M",18,25
1944,"M","M",29,36
1945,"M","M",7,14
1946,"M","M",23,38
1947,"M","M",26,40
1938,"A","M",19,32
1939,"A","M",19,23
1940,"A","M",13,25
1941,"A","M",9,15
1942,"A","M",9,14
1943,"A","M",19,27
1944,"A","M",3,9
1945,"A","M",10,15
1946,"A","M",0,0
1947,"A","M",9,17
1938,"S","M",4,9
1939,"S","M",11,13
1940,"S","M",11,19
1941,"S","M",19,24
1942,"S","M",21,29
1943,"S","M",16,24
1944,"S","M",29,33
1945,"S","M",24,36
1946,"S","M",7,7
1947,"S","M",22,28
1938,"E","M",14,20
1939,"E","M",8,14
1940,"E","M",12,16
1941,"E","M",7,7
1942,"E","M",4,7
1943,"E","M",5,6
1944,"E","M",17,19
1945,"E","M",20,26
1946,"E","M",0,0
1947,"E","M",25,32
1938,"A","F",18,22
1939,"A","F",9,14
1940,"A","F",11,14
1941,"A","F",9,14
1942,"A","F",9,14
1943,"A","F",9,10
1944,"A","F",17,23
1945,"A","F",18,22
1946,"A","F",2,3
1947,"A","F",10,14
1938,"S","F",2,2
1939,"S","F",2,2
1940,"S","F",8,8
1941,"S","F",2,3
1942,"S","F",5,5
1943,"S","F",7,9
1944,"S","F",3,5
1945,"S","F",17,17
1946,"S","F",1,1
1947,"S","F",7,8
