"year","faculty","sex","survive","total"
1938,"M","M",12,27
1939,"M","M",12,25
1940,"M","M",13,19
1941,"M","M",21,25
1942,"M","M",9,31
1943,"M","M",15,29
1944,"M","M",23,36
1945,"M","M",11,16
1946,"M","M",22,35
1947,"M","M",30,40
1938,"A","M",16,26
1939,"A","M",16,23
1940,"A","M",13,22
1941,"A","M",7,9
1942,"A","M",11,16
1943,"A","M",13,26
1944,"A","M",7,13
1945,"A","M",10,12
1946,"A","M",0,0
1947,"A","M",12,22
1938,"S","M",12,14
1939,"S","M",7,11
1940,"S","M",14,20
1941,"S","M",13,15
1942,"S","M",20,29
1943,"S","M",17,23
1944,"S","M",32,42
1945,"S","M",23,34
1946,"S","M",4,7
1947,"S","M",28,39
1938,"E","M",11,15
1939,"E","M",13,17
1940,"E","M",9,13
1941,"E","M",5,8
1942,"E","M",8,9
1943,"E","M",4,4
1944,"E","M",17,24
1945,"E","M",25,29
1946,"E","M",0,0
1947,"E","M",27,36
1938,"A","F",18,24
1939,"A","F",13,21
1940,"A","F",17,28
1941,"A","F",19,24
1942,"A","F",6,8
1943,"A","F",7,10
1944,"A","F",17,21
1945,"A","F",15,19
1946,"A","F",1,2
1947,"A","F",15,18
1938,"S","F",1,1
1939,"S","F",5,6
1940,"S","F",7,8
1941,"S","F",2,2
1942,"S","F",4,4
1943,"S","F",8,10
1944,"S","F",6,6
1945,"S","F",9,10
1946,"S","F",2,2
1947,"S","F",10,13
