"year","faculty","sex","survive","total"
1938,"M","M",13,20
1939,"M","M",17,29
1940,"M","M",10,17
1941,"M","M",14,30
1942,"M","M",26,46
1943,"M","M",13,18
1944,"M","M",19,28
1945,"M","M",7,13
1946,"M","M",25,33
1947,"M","M",28,44
1938,"A","M",27,37
1939,"A","M",14,28
1940,"A","M",19,30
1941,"A","M",11,17
1942,"A","M",5,13
1943,"A","M",14,22
1944,"A","M",4,6
1945,"A","M",10,18
1946,"A","M",0,0
1947,"A","M",21,25
1938,"S","M",7,12
1939,"S","M",10,11
1940,"S","M",12,17
1941,"S","M",12,16
1942,"S","M",27,35
1943,"S","M",16,22
1944,"S","M",28,35
1945,"S","M",33,43
1946,"S","M",3,5
1947,"S","M",21,28
1938,"E","M",19,21
1939,"E","M",10,13
1940,"E","M",12,15
1941,"E","M",9,9
1942,"E","M",3,4
1943,"E","M",2,2
1944,"E","M",18,27
1945,"E","M",15,22
1946,"E","M",0,0
1947,"E","M",31,41
1938,"A","F",10,14
1939,"A","F",12,17
1940,"A","F",11,12
1941,"A","F",16,21
1942,"A","F",7,7
1943,"A","F",11,16
1944,"A","F",24,29
1945,"A","F",15,20
1946,"A","F",1,1
1947,"A","F",18,21
1938,"S","F",4,5
1939,"S","F",5,5
1940,"S","F",5,6
1941,"S","F",2,2
1942,"S","F",6,7
1943,"S","F",10,12
1944,"S","F",1,1
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",7,7
