"year","faculty","sex","survive","total"
1938,"M","M",15,23
1939,"M","M",8,20
1940,"M","M",11,21
1941,"M","M",20,27
1942,"M","M",16,34
1943,"M","M",19,28
1944,"M","M",15,24
1945,"M","M",7,12
1946,"M","M",19,27
1947,"M","M",23,30
1938,"A","M",14,31
1939,"A","M",13,23
1940,"A","M",24,30
1941,"A","M",7,13
1942,"A","M",6,9
1943,"A","M",16,21
1944,"A","M",9,12
1945,"A","M",8,10
1946,"A","M",0,0
1947,"A","M",14,28
1938,"S","M",13,14
1939,"S","M",3,5
1940,"S","M",14,16
1941,"S","M",8,14
1942,"S","M",12,17
1943,"S","M",26,33
1944,"S","M",23,29
1945,"S","M",30,41
1946,"S","M",2,3
1947,"S","M",23,31
1938,"E","M",14,19
1939,"E","M",3,8
1940,"E","M",9,13
1941,"E","M",7,9
1942,"E","M",2,4
1943,"E","M",6,7
1944,"E","M",18,21
1945,"E","M",23,31
1946,"E","M",0,0
1947,"E","M",34,42
1938,"A","F",14,19
1939,"A","F",11,13
1940,"A","F",16,20
1941,"A","F",17,23
1942,"A","F",10,12
1943,"A","F",10,13
1944,"A","F",15,19
1945,"A","F",18,25
1946,"A","F",1,1
1947,"A","F",13,17
1938,"S","F",1,1
1939,"S","F",1,1
1940,"S","F",9,9
1941,"S","F",2,2
1942,"S","F",2,2
1943,"S","F",8,10
1944,"S","F",5,6
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",9,9
