"HC","CO","NOX"
0.65,13.95,1.27
0.37,2.36,1.79
0.17,8.52,1.25
0.42,2.8,1.23
0.2,7.51,1.72
0.24,1.61,1.37
0.38,6.81,0.89
0.64,11.26,0.06
0.4,6.85,1.06
0.02,7.12,2.05
0.59,10.99,0.71
0.64,10.43,1.17
0.38,5.12,1.18
0.53,15.88,0.44
0.64,12.87,0.39
0.12,6.99,1.25
0.39,10.06,0.56
0.01,8.54,1.63
0.29,0.65,1.31
0.28,3.4,0.87
0.24,6.11,1.78
0.71,13.95,0.87
0.3,10.5,1.53
0.26,0.97,1.63
0.56,12.5,0.58
0.19,6.44,1.62
0.48,5.36,1.04
0.16,7.89,1.74
0.1,7.64,1.11
0.43,10.57,0.48
0.46,6.57,1.43
0.47,11.15,0.55
0.15,6.98,1.67
0.74,16.92,2
0.41,7.05,0.77
0.46,6.8,1.61
0.4,10.07,0.75
0.4,5.62,1.19
0.58,11.61,0.63
0.5,10.29,0.48
0.3,2.4,1.49
0.25,9.89,1.57
0.45,6.58,1.29
0.46,6.74,0.46
0.39,9.48,0.98
0.19,2.82,0.45
0.33,3.32,1.58
0.37,9,0.46
0.3,8.53,1.39
0.07,6.29,0.68
0.5,5.79,1.68
0.55,10.35,0.87
0.46,5.29,1.35
0.29,2.26,1.51
0.46,9.37,0.94
0.56,9.09,0.67
0.32,5.96,0.82
0.53,6.39,0.77
0.18,1.67,1.87
0.3,2.22,1.47
0.32,7.5,1.54
0.54,7.39,1.38
0.1,5.72,2.11
0.52,7.88,1.45
0.22,11.7,1.25
0.02,7.5,1.42
0.15,0.74,1.5
0.27,1.23,1.34
0.37,1.12,1.35
0.75,18.77,0.66
0.67,15.37,0.16
0.47,7.98,1.05
0.19,9.38,1.92
0.53,9.75,0.59
0.83,21.5,1.35
0.26,3.11,1.47
0.41,7.03,0.95
0.43,10.07,0.64
0.34,0.5,1.25
0.34,1.69,0.9
0.48,6.07,1.44
0.23,0.77,1.43
0.28,1.88,1.32
0.68,10.21,0.7
0.46,8.16,1.16
0.2,0.75,1.68
0.24,3.91,1.35
0.4,8.35,0.9
0.38,5.89,1.22
0.16,1.63,1.75
0.24,9.11,1.49
0.53,11.9,1.09
0.44,6.69,0.84
0.64,14.01,0.58
0.24,4.96,1.37
0.5,8.56,0.85
0.44,6.09,0.93
0.37,6.58,1.38
0.3,3.48,0.56
0.56,7.19,1.77
