"year","faculty","sex","survive","total"
1938,"M","M",22,30
1939,"M","M",12,21
1940,"M","M",9,15
1941,"M","M",10,14
1942,"M","M",32,49
1943,"M","M",14,20
1944,"M","M",23,37
1945,"M","M",14,22
1946,"M","M",20,34
1947,"M","M",28,35
1938,"A","M",12,25
1939,"A","M",13,20
1940,"A","M",24,33
1941,"A","M",9,14
1942,"A","M",8,11
1943,"A","M",8,22
1944,"A","M",9,11
1945,"A","M",7,9
1946,"A","M",0,0
1947,"A","M",14,25
1938,"S","M",10,11
1939,"S","M",5,11
1940,"S","M",10,13
1941,"S","M",16,21
1942,"S","M",17,26
1943,"S","M",12,17
1944,"S","M",28,38
1945,"S","M",38,47
1946,"S","M",2,3
1947,"S","M",21,26
1938,"E","M",12,16
1939,"E","M",5,6
1940,"E","M",8,14
1941,"E","M",6,9
1942,"E","M",2,3
1943,"E","M",2,3
1944,"E","M",19,27
1945,"E","M",16,20
1946,"E","M",0,0
1947,"E","M",41,49
1938,"A","F",7,9
1939,"A","F",14,17
1940,"A","F",11,17
1941,"A","F",21,29
1942,"A","F",3,6
1943,"A","F",10,13
1944,"A","F",22,24
1945,"A","F",20,24
1946,"A","F",1,1
1947,"A","F",9,14
1938,"S","F",1,1
1939,"S","F",3,4
1940,"S","F",6,7
1941,"S","F",1,1
1942,"S","F",2,3
1943,"S","F",8,8
1944,"S","F",4,4
1945,"S","F",8,10
1946,"S","F",1,1
1947,"S","F",11,12
