"year","faculty","sex","survive","total"
1938,"M","M",12,20
1939,"M","M",13,25
1940,"M","M",19,26
1941,"M","M",13,22
1942,"M","M",29,48
1943,"M","M",14,25
1944,"M","M",30,44
1945,"M","M",7,15
1946,"M","M",23,41
1947,"M","M",32,51
1938,"A","M",21,28
1939,"A","M",11,20
1940,"A","M",9,16
1941,"A","M",12,18
1942,"A","M",7,10
1943,"A","M",13,19
1944,"A","M",4,7
1945,"A","M",5,8
1946,"A","M",0,0
1947,"A","M",9,16
1938,"S","M",9,18
1939,"S","M",5,6
1940,"S","M",17,23
1941,"S","M",14,17
1942,"S","M",23,34
1943,"S","M",18,21
1944,"S","M",26,36
1945,"S","M",39,46
1946,"S","M",5,6
1947,"S","M",28,36
1938,"E","M",11,18
1939,"E","M",7,8
1940,"E","M",10,17
1941,"E","M",8,10
1942,"E","M",3,4
1943,"E","M",2,4
1944,"E","M",15,17
1945,"E","M",24,27
1946,"E","M",0,0
1947,"E","M",25,29
1938,"A","F",18,26
1939,"A","F",15,16
1940,"A","F",23,25
1941,"A","F",19,26
1942,"A","F",8,10
1943,"A","F",14,17
1944,"A","F",11,15
1945,"A","F",12,16
1946,"A","F",1,1
1947,"A","F",14,19
1938,"S","F",1,1
1939,"S","F",3,3
1940,"S","F",8,11
1941,"S","F",2,2
1942,"S","F",5,5
1943,"S","F",10,12
1944,"S","F",4,6
1945,"S","F",11,12
1946,"S","F",1,1
1947,"S","F",12,13
