"HC","CO","NOX"
0.17,6.29,2.1
0.67,12.77,1
0.25,1.97,1
0.1,6.94,1.95
0.4,6.43,1.05
0.26,5.09,0.75
0.59,12.4,0.34
0.41,2.98,1.91
0.57,11.5,1.23
0.09,6.57,1.75
0.85,23.08,0.7
0.26,0.69,1.13
0.34,4.86,1.32
0.5,10.74,0.82
0.48,10.46,0.32
0.49,3.55,1.2
0.63,8.85,0.94
0.12,6.32,1.65
0.54,9.63,1.27
0.23,2.59,1.01
0.36,3.8,1.21
0.4,7.39,0.65
0.24,4.21,0.9
0.6,7.97,0.6
0.66,15.79,0.54
0.54,10.14,0.57
0.55,7.86,1.51
0.28,5.66,1.29
0.24,10.59,1.62
0.4,7.94,0.74
0.09,0.41,1.37
0.36,6.02,1.21
0.61,6.56,2.33
0.43,5.36,1.41
0.16,0.31,0.99
0.24,3.79,1.14
0.43,5.94,0.84
0.69,12.35,1.13
0.14,0.43,1.02
0.12,0.09,1.37
0.44,8.02,0.61
0.71,13.25,0.54
0.56,8.2,0.59
0.71,16.6,0.86
0.34,6.01,1
0.31,9.99,0.76
0.37,6.79,1.45
0.51,7.11,1.09
0.38,6.94,1.57
0.38,3.24,1.34
0.62,15.73,2.03
0.09,9.54,1.96
0.49,8.08,1.11
0.33,5.77,0.58
0.22,0.71,1.18
0.34,6.84,1.07
0.6,8.69,0.32
0.38,6.5,0.77
0.32,3.98,1.92
0.57,12.74,0.51
0.4,10.17,0.46
0.37,9.48,0.88
0.2,5.55,1.23
0.3,4.67,1.53
0.78,12.9,0.84
0.66,11.8,0.88
0.7,13.2,0.67
0.43,4.91,1.36
0.53,8.98,0.84
0.32,4.73,1.6
0.57,12.28,1.12
0.3,1.57,1.03
0.49,12,0.53
0.39,2.54,1.86
0.27,7.86,1.16
0.29,1.22,1.35
0.67,12.79,1.14
0.41,7.85,1.41
0.51,11.42,0.78
0.24,8.82,2.38
0.27,7.18,0.88
0.39,8.33,1.37
0.57,15.5,0.56
0.55,6.28,1.71
0.62,11.23,0.56
0.46,4.87,1.71
0.39,2.42,0.99
0.2,9.22,1.81
0.34,3.63,0.92
0.59,10.92,0.55
0.27,5.87,0.79
0.26,6.17,1.42
0.62,14.49,1.12
0.44,7.65,0.96
0.39,5.83,0.65
0.84,18.49,0.95
0.41,7.01,1.13
0.3,2.79,0.79
0.34,6.34,0.89
0.26,3.87,0.86
