"year","faculty","sex","survive","total"
1938,"M","M",16,21
1939,"M","M",17,28
1940,"M","M",6,14
1941,"M","M",21,28
1942,"M","M",33,56
1943,"M","M",11,21
1944,"M","M",16,29
1945,"M","M",3,9
1946,"M","M",19,31
1947,"M","M",22,30
1938,"A","M",11,25
1939,"A","M",10,16
1940,"A","M",13,23
1941,"A","M",8,12
1942,"A","M",11,15
1943,"A","M",23,33
1944,"A","M",1,1
1945,"A","M",5,10
1946,"A","M",0,0
1947,"A","M",19,24
1938,"S","M",10,17
1939,"S","M",11,15
1940,"S","M",13,13
1941,"S","M",10,19
1942,"S","M",18,19
1943,"S","M",13,17
1944,"S","M",19,23
1945,"S","M",23,30
1946,"S","M",5,6
1947,"S","M",33,42
1938,"E","M",8,11
1939,"E","M",8,12
1940,"E","M",14,17
1941,"E","M",9,13
1942,"E","M",3,4
1943,"E","M",2,2
1944,"E","M",19,24
1945,"E","M",17,20
1946,"E","M",0,0
1947,"E","M",33,45
1938,"A","F",12,14
1939,"A","F",6,10
1940,"A","F",9,12
1941,"A","F",12,16
1942,"A","F",8,9
1943,"A","F",17,21
1944,"A","F",14,18
1945,"A","F",18,21
1946,"A","F",1,1
1947,"A","F",15,21
1938,"S","F",1,1
1939,"S","F",5,6
1940,"S","F",3,3
1941,"S","F",6,6
1942,"S","F",3,3
1943,"S","F",9,10
1944,"S","F",3,3
1945,"S","F",16,21
1946,"S","F",1,1
1947,"S","F",3,3
