"year","faculty","sex","survive","total"
1938,"M","M",14,19
1939,"M","M",9,15
1940,"M","M",8,16
1941,"M","M",16,27
1942,"M","M",31,47
1943,"M","M",15,24
1944,"M","M",17,31
1945,"M","M",10,12
1946,"M","M",18,29
1947,"M","M",31,42
1938,"A","M",17,31
1939,"A","M",9,13
1940,"A","M",19,27
1941,"A","M",15,21
1942,"A","M",2,5
1943,"A","M",14,21
1944,"A","M",11,15
1945,"A","M",3,9
1946,"A","M",0,0
1947,"A","M",16,23
1938,"S","M",9,12
1939,"S","M",4,6
1940,"S","M",13,22
1941,"S","M",7,14
1942,"S","M",22,30
1943,"S","M",14,19
1944,"S","M",34,35
1945,"S","M",41,48
1946,"S","M",6,6
1947,"S","M",22,28
1938,"E","M",16,21
1939,"E","M",9,9
1940,"E","M",11,12
1941,"E","M",5,6
1942,"E","M",6,6
1943,"E","M",2,2
1944,"E","M",17,24
1945,"E","M",10,13
1946,"E","M",0,0
1947,"E","M",24,31
1938,"A","F",11,16
1939,"A","F",11,15
1940,"A","F",24,29
1941,"A","F",24,28
1942,"A","F",7,8
1943,"A","F",7,10
1944,"A","F",19,27
1945,"A","F",21,24
1946,"A","F",2,2
1947,"A","F",13,16
1938,"S","F",1,1
1939,"S","F",3,4
1940,"S","F",8,8
1941,"S","F",2,2
1942,"S","F",3,3
1943,"S","F",7,10
1944,"S","F",6,6
1945,"S","F",12,13
1946,"S","F",2,2
1947,"S","F",4,5
