"year","faculty","sex","survive","total"
1938,"M","M",19,29
1939,"M","M",20,37
1940,"M","M",19,24
1941,"M","M",17,29
1942,"M","M",26,43
1943,"M","M",11,20
1944,"M","M",29,40
1945,"M","M",6,13
1946,"M","M",18,26
1947,"M","M",20,34
1938,"A","M",17,31
1939,"A","M",11,19
1940,"A","M",14,27
1941,"A","M",6,11
1942,"A","M",9,13
1943,"A","M",16,22
1944,"A","M",7,14
1945,"A","M",8,14
1946,"A","M",0,0
1947,"A","M",10,15
1938,"S","M",11,12
1939,"S","M",10,16
1940,"S","M",14,17
1941,"S","M",11,16
1942,"S","M",18,30
1943,"S","M",14,21
1944,"S","M",20,22
1945,"S","M",31,46
1946,"S","M",4,6
1947,"S","M",27,34
1938,"E","M",10,14
1939,"E","M",11,16
1940,"E","M",12,18
1941,"E","M",7,10
1942,"E","M",6,7
1943,"E","M",1,2
1944,"E","M",15,24
1945,"E","M",19,24
1946,"E","M",0,0
1947,"E","M",31,38
1938,"A","F",11,15
1939,"A","F",10,11
1940,"A","F",6,13
1941,"A","F",27,31
1942,"A","F",7,8
1943,"A","F",4,9
1944,"A","F",16,18
1945,"A","F",26,32
1946,"A","F",1,1
1947,"A","F",12,16
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",9,11
1941,"S","F",1,1
1942,"S","F",2,3
1943,"S","F",8,9
1944,"S","F",2,2
1945,"S","F",12,15
1946,"S","F",1,1
1947,"S","F",7,7
