"year","faculty","sex","survive","total"
1938,"M","M",18,28
1939,"M","M",16,22
1940,"M","M",12,22
1941,"M","M",13,24
1942,"M","M",30,48
1943,"M","M",10,18
1944,"M","M",20,29
1945,"M","M",9,16
1946,"M","M",27,44
1947,"M","M",21,44
1938,"A","M",21,33
1939,"A","M",12,20
1940,"A","M",16,25
1941,"A","M",8,14
1942,"A","M",10,14
1943,"A","M",14,18
1944,"A","M",4,9
1945,"A","M",5,8
1946,"A","M",0,0
1947,"A","M",16,23
1938,"S","M",9,10
1939,"S","M",6,10
1940,"S","M",11,18
1941,"S","M",14,16
1942,"S","M",20,27
1943,"S","M",16,20
1944,"S","M",22,29
1945,"S","M",22,30
1946,"S","M",7,8
1947,"S","M",25,28
1938,"E","M",12,18
1939,"E","M",9,13
1940,"E","M",7,12
1941,"E","M",9,9
1942,"E","M",6,7
1943,"E","M",2,2
1944,"E","M",14,15
1945,"E","M",25,33
1946,"E","M",0,0
1947,"E","M",25,31
1938,"A","F",12,17
1939,"A","F",15,19
1940,"A","F",17,20
1941,"A","F",16,18
1942,"A","F",5,7
1943,"A","F",12,16
1944,"A","F",24,27
1945,"A","F",20,26
1946,"A","F",1,1
1947,"A","F",9,11
1938,"S","F",1,1
1939,"S","F",2,3
1940,"S","F",7,8
1941,"S","F",1,3
1942,"S","F",5,5
1943,"S","F",9,9
1944,"S","F",3,3
1945,"S","F",12,12
1946,"S","F",1,1
1947,"S","F",7,8
