"HC","CO","NOX"
0.55,6.18,0.65
0.53,11.71,1.01
0.35,5.48,1.36
0.36,7.32,0.7
0.55,9.74,0.83
0.59,10.21,0.47
0.21,8.35,1.4
0.21,1.44,1.22
0.31,1.02,1.56
0.65,12.97,0.68
0.09,7.93,1.7
0.39,8.03,0.88
0.54,12.77,0.34
0.39,6.97,0.91
0.48,8.91,0.94
0.23,6.72,1.16
0.35,5.18,0.46
0.45,6.86,1.62
0.5,7.74,1.24
0.31,3.9,1.06
0.29,0.47,1.68
0.31,3.74,1.07
0.36,3.55,1.16
0.31,1.86,1.24
0.18,9.41,2.3
0.54,14.53,1.57
0.53,5.68,0.98
0.56,10.52,0.87
0.31,2.52,1.02
0.73,15.13,0.85
0.27,5.83,0.88
0.61,10.29,0.95
0.07,6.87,1.47
0.59,11.56,0.55
0.8,14.3,0.52
0.54,12.23,1.5
0.24,3.1,1.28
0.17,8.7,1.48
0.32,8.75,1.05
0.64,7.2,0.8
0.58,15.71,0.15
0.33,7.57,1.18
0.34,5.98,1.24
0.48,10.65,1.29
0.18,6.85,2.03
0.64,15.5,0.55
0.48,8.93,1.39
0.27,2.14,1.44
0.37,5.12,1.47
0.33,8.09,1.05
0.41,7.85,0.98
0.37,4.73,1.32
0.4,2.78,1.79
0.66,12.13,0.37
0.63,11.63,0.52
0.4,5.69,0.79
0.66,5.42,1.33
0.39,1.6,1.25
0.32,7.18,0.93
0.55,12.38,0.91
0.29,3.21,1.44
0.26,6.55,1.76
0.35,9.22,0.6
0.61,15.14,0.26
0.35,3.86,1.07
0.09,6.65,1.99
0.16,8.89,1.92
0.3,6.79,0.55
0.19,8,0.32
0.38,6.18,1.25
0.5,8.12,0.84
0.73,18.06,1.32
0.29,6.18,1.26
0.59,12.43,1.04
0.44,6.54,0.54
0.35,6.03,1.78
0.32,2.89,1.07
0.54,8.06,1.13
0.22,5.17,1.07
0.45,3.29,1.27
0.41,4.86,1.77
0.23,9.41,1.49
0.56,9.87,1.1
0.04,7.26,1.14
0.23,3.62,1.11
0.41,9.7,0.06
0.44,8.71,0.89
0.45,5.69,1.2
0.33,2.5,2.13
0.37,8.5,0.98
0.52,5.03,1.38
0.22,3.4,0.85
0.6,11.03,0.4
0.42,5.1,1.13
0.34,4.65,1.18
0.59,13.31,0.52
0.39,11.52,0.5
0.12,12.51,1.85
0.31,0.55,1.85
0.47,4.51,1.39
