"year","faculty","sex","survive","total"
1938,"M","M",14,20
1939,"M","M",14,23
1940,"M","M",15,24
1941,"M","M",24,32
1942,"M","M",25,39
1943,"M","M",11,19
1944,"M","M",18,30
1945,"M","M",9,14
1946,"M","M",22,31
1947,"M","M",24,37
1938,"A","M",17,32
1939,"A","M",17,25
1940,"A","M",13,24
1941,"A","M",6,11
1942,"A","M",8,12
1943,"A","M",14,24
1944,"A","M",8,17
1945,"A","M",13,13
1946,"A","M",0,0
1947,"A","M",15,24
1938,"S","M",16,18
1939,"S","M",8,11
1940,"S","M",15,23
1941,"S","M",13,18
1942,"S","M",18,23
1943,"S","M",16,19
1944,"S","M",22,33
1945,"S","M",28,35
1946,"S","M",1,3
1947,"S","M",17,19
1938,"E","M",12,13
1939,"E","M",9,13
1940,"E","M",12,15
1941,"E","M",5,10
1942,"E","M",1,3
1943,"E","M",1,1
1944,"E","M",18,26
1945,"E","M",15,19
1946,"E","M",0,0
1947,"E","M",24,32
1938,"A","F",16,21
1939,"A","F",13,15
1940,"A","F",12,17
1941,"A","F",12,18
1942,"A","F",8,11
1943,"A","F",14,16
1944,"A","F",15,19
1945,"A","F",23,28
1946,"A","F",2,2
1947,"A","F",12,14
1938,"S","F",2,2
1939,"S","F",3,3
1940,"S","F",3,6
1941,"S","F",2,3
1942,"S","F",3,3
1943,"S","F",10,12
1944,"S","F",8,10
1945,"S","F",14,14
1946,"S","F",1,1
1947,"S","F",9,10
