"year","faculty","sex","survive","total"
1938,"M","M",17,21
1939,"M","M",10,18
1940,"M","M",16,20
1941,"M","M",10,18
1942,"M","M",26,40
1943,"M","M",11,22
1944,"M","M",18,29
1945,"M","M",7,12
1946,"M","M",18,29
1947,"M","M",15,26
1938,"A","M",13,26
1939,"A","M",12,24
1940,"A","M",11,20
1941,"A","M",3,5
1942,"A","M",5,10
1943,"A","M",13,18
1944,"A","M",5,5
1945,"A","M",5,10
1946,"A","M",0,0
1947,"A","M",18,25
1938,"S","M",8,11
1939,"S","M",6,12
1940,"S","M",11,14
1941,"S","M",14,17
1942,"S","M",21,27
1943,"S","M",19,26
1944,"S","M",23,30
1945,"S","M",24,29
1946,"S","M",8,10
1947,"S","M",22,28
1938,"E","M",14,19
1939,"E","M",7,9
1940,"E","M",5,12
1941,"E","M",13,14
1942,"E","M",6,6
1943,"E","M",1,2
1944,"E","M",19,23
1945,"E","M",24,31
1946,"E","M",0,0
1947,"E","M",37,53
1938,"A","F",8,11
1939,"A","F",10,15
1940,"A","F",13,18
1941,"A","F",24,30
1942,"A","F",7,8
1943,"A","F",9,13
1944,"A","F",12,16
1945,"A","F",17,22
1946,"A","F",1,1
1947,"A","F",13,17
1938,"S","F",2,2
1939,"S","F",2,3
1940,"S","F",7,11
1941,"S","F",3,3
1942,"S","F",2,3
1943,"S","F",5,6
1944,"S","F",4,6
1945,"S","F",14,14
1946,"S","F",1,1
1947,"S","F",10,13
