"HC","CO","NOX"
0.36,11.38,0.47
0.46,4.4,1.77
0.43,3.84,1.57
0.38,6.54,1.19
0.25,5.89,1.18
0.71,16.46,0.78
0.25,3.13,1.43
0.21,1.93,1.1
0.41,6.34,0.93
0.69,13.79,0.84
0.59,11.28,0.2
0.54,10.77,0.46
0.65,12.31,0.98
0.34,6.93,1.52
0.55,12.27,1.26
0.38,1.69,1.55
0.77,27.13,0.12
0.53,6.88,1.49
0.15,1.41,1.85
0.46,12.8,0.87
0.33,1.85,1.11
0.64,10.82,1.25
0.59,14.74,0.51
0.28,2.15,0.88
0.34,4.11,1.03
0.54,8.01,1.65
0.82,17.64,0.73
0.71,14.25,0.66
0.4,7.21,0.98
0.46,7.9,0.79
0.15,8.97,2.58
0.21,6.25,1.63
0.18,2.44,1.3
0.55,8.02,1.05
0.57,10.21,0.3
0.55,12.55,1.51
0.56,8.61,1.03
0.63,14.03,0.71
0.49,7.6,1.13
0.29,3.27,1.23
0.71,15.77,0.87
0.38,4.42,1.1
0.55,8.41,0.46
0.4,6.61,1.22
0.67,15.89,0.37
0.3,5.6,0.82
0.1,13.74,2.07
0.54,10.59,0.84
0.15,13.07,1.48
0.23,7.07,1.43
0.18,3.02,1.47
0.69,13.66,0.41
0.58,9.98,0.85
0.43,5.31,1.32
0.28,3.32,0.94
0.32,4.27,0.66
0.16,1.29,1.02
0.3,2.21,1.41
0.72,10.61,2.11
0.42,6.07,0.9
0.39,11.29,0.23
0.41,8.63,0.69
0.65,10.67,0.92
0.23,2.42,1.23
0.4,8.92,1.2
0.37,4.66,0.8
0.48,7.52,1.38
0.53,7.58,1.11
0.42,9.97,0.75
0.26,0.93,1.14
0.29,2.86,1.66
0.54,8.21,0.81
0.44,9.93,0.81
0.17,12.24,1.91
0.68,17.63,0.4
0.31,5.91,1.18
0.37,7.22,1.22
0.57,9.84,1.05
0.55,12.41,1.11
0.39,4.48,1.31
0.7,14.54,0.18
0.25,0.35,0.82
0.33,3.57,1.39
0.11,7.05,1.43
0.48,8.71,1.26
0.15,0.62,1.27
0.56,12.83,0.26
0.38,2.49,1.28
0.28,4.5,1.46
0.5,5.34,0.84
0.46,9.9,1.05
0.38,1.53,1.25
0.45,7.37,1.09
0.07,5.87,2.28
0.54,11.76,1.06
0.3,0.35,1.53
0.14,12.44,1.11
0.14,1.95,0.83
0.48,8.71,0.71
0.2,0.22,1.34
