"year","faculty","sex","survive","total"
1938,"M","M",12,24
1939,"M","M",22,29
1940,"M","M",15,22
1941,"M","M",11,21
1942,"M","M",38,52
1943,"M","M",14,20
1944,"M","M",17,28
1945,"M","M",8,16
1946,"M","M",20,29
1947,"M","M",25,35
1938,"A","M",13,28
1939,"A","M",6,14
1940,"A","M",14,25
1941,"A","M",11,13
1942,"A","M",9,13
1943,"A","M",11,15
1944,"A","M",4,7
1945,"A","M",6,13
1946,"A","M",0,0
1947,"A","M",11,20
1938,"S","M",11,15
1939,"S","M",9,10
1940,"S","M",10,16
1941,"S","M",12,16
1942,"S","M",15,21
1943,"S","M",16,23
1944,"S","M",28,38
1945,"S","M",31,40
1946,"S","M",5,7
1947,"S","M",25,30
1938,"E","M",12,15
1939,"E","M",7,9
1940,"E","M",10,17
1941,"E","M",5,8
1942,"E","M",6,6
1943,"E","M",1,2
1944,"E","M",22,30
1945,"E","M",14,19
1946,"E","M",0,0
1947,"E","M",20,25
1938,"A","F",15,22
1939,"A","F",13,14
1940,"A","F",15,19
1941,"A","F",16,20
1942,"A","F",6,11
1943,"A","F",14,22
1944,"A","F",16,18
1945,"A","F",17,21
1946,"A","F",2,2
1947,"A","F",13,15
1938,"S","F",3,3
1939,"S","F",5,5
1940,"S","F",4,8
1941,"S","F",2,3
1942,"S","F",4,4
1943,"S","F",3,7
1944,"S","F",4,5
1945,"S","F",10,12
1946,"S","F",2,2
1947,"S","F",9,11
