"year","faculty","sex","survive","total"
1938,"M","M",10,18
1939,"M","M",10,17
1940,"M","M",11,12
1941,"M","M",15,28
1942,"M","M",29,42
1943,"M","M",12,15
1944,"M","M",23,33
1945,"M","M",2,7
1946,"M","M",28,39
1947,"M","M",19,29
1938,"A","M",13,23
1939,"A","M",9,15
1940,"A","M",16,29
1941,"A","M",9,15
1942,"A","M",8,11
1943,"A","M",14,23
1944,"A","M",6,8
1945,"A","M",8,13
1946,"A","M",0,0
1947,"A","M",16,19
1938,"S","M",13,17
1939,"S","M",9,12
1940,"S","M",10,16
1941,"S","M",13,16
1942,"S","M",22,28
1943,"S","M",15,19
1944,"S","M",24,33
1945,"S","M",30,45
1946,"S","M",3,4
1947,"S","M",27,36
1938,"E","M",13,18
1939,"E","M",13,18
1940,"E","M",14,17
1941,"E","M",9,14
1942,"E","M",6,8
1943,"E","M",2,3
1944,"E","M",12,17
1945,"E","M",13,21
1946,"E","M",0,0
1947,"E","M",22,26
1938,"A","F",17,21
1939,"A","F",12,16
1940,"A","F",13,15
1941,"A","F",11,21
1942,"A","F",8,9
1943,"A","F",12,18
1944,"A","F",23,29
1945,"A","F",17,22
1946,"A","F",1,1
1947,"A","F",16,16
1938,"S","F",2,2
1939,"S","F",1,1
1940,"S","F",2,2
1941,"S","F",5,5
1942,"S","F",1,1
1943,"S","F",8,8
1944,"S","F",4,4
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",9,10
