"year","faculty","sex","survive","total"
1938,"M","M",18,27
1939,"M","M",19,30
1940,"M","M",14,19
1941,"M","M",13,20
1942,"M","M",26,42
1943,"M","M",16,22
1944,"M","M",25,32
1945,"M","M",9,16
1946,"M","M",23,37
1947,"M","M",25,50
1938,"A","M",20,38
1939,"A","M",14,27
1940,"A","M",14,24
1941,"A","M",7,16
1942,"A","M",7,10
1943,"A","M",6,17
1944,"A","M",12,16
1945,"A","M",15,20
1946,"A","M",0,0
1947,"A","M",24,34
1938,"S","M",5,7
1939,"S","M",8,11
1940,"S","M",14,27
1941,"S","M",8,12
1942,"S","M",25,35
1943,"S","M",11,19
1944,"S","M",22,31
1945,"S","M",30,40
1946,"S","M",3,4
1947,"S","M",36,44
1938,"E","M",10,16
1939,"E","M",8,9
1940,"E","M",12,15
1941,"E","M",7,9
1942,"E","M",5,5
1943,"E","M",1,2
1944,"E","M",18,29
1945,"E","M",20,27
1946,"E","M",0,0
1947,"E","M",19,28
1938,"A","F",10,14
1939,"A","F",12,15
1940,"A","F",11,18
1941,"A","F",17,25
1942,"A","F",7,10
1943,"A","F",6,11
1944,"A","F",12,17
1945,"A","F",17,21
1946,"A","F",1,2
1947,"A","F",16,18
1938,"S","F",2,2
1939,"S","F",4,5
1940,"S","F",5,6
1941,"S","F",2,2
1942,"S","F",2,3
1943,"S","F",6,8
1944,"S","F",4,4
1945,"S","F",9,11
1946,"S","F",2,2
1947,"S","F",14,15
