"year","faculty","sex","survive","total"
1938,"M","M",13,20
1939,"M","M",22,26
1940,"M","M",6,13
1941,"M","M",18,34
1942,"M","M",29,43
1943,"M","M",18,28
1944,"M","M",20,30
1945,"M","M",13,19
1946,"M","M",23,31
1947,"M","M",23,39
1938,"A","M",16,26
1939,"A","M",17,23
1940,"A","M",15,25
1941,"A","M",11,18
1942,"A","M",6,10
1943,"A","M",9,16
1944,"A","M",9,18
1945,"A","M",6,13
1946,"A","M",0,0
1947,"A","M",17,22
1938,"S","M",11,13
1939,"S","M",11,13
1940,"S","M",7,12
1941,"S","M",11,14
1942,"S","M",23,29
1943,"S","M",12,20
1944,"S","M",25,31
1945,"S","M",22,32
1946,"S","M",4,7
1947,"S","M",34,40
1938,"E","M",9,11
1939,"E","M",9,11
1940,"E","M",7,12
1941,"E","M",5,5
1942,"E","M",12,13
1943,"E","M",2,4
1944,"E","M",16,21
1945,"E","M",15,21
1946,"E","M",0,0
1947,"E","M",24,29
1938,"A","F",13,19
1939,"A","F",12,13
1940,"A","F",15,24
1941,"A","F",23,27
1942,"A","F",10,10
1943,"A","F",5,8
1944,"A","F",19,26
1945,"A","F",23,26
1946,"A","F",1,1
1947,"A","F",14,15
1938,"S","F",1,1
1939,"S","F",1,1
1940,"S","F",8,8
1941,"S","F",2,2
1942,"S","F",1,4
1943,"S","F",5,7
1944,"S","F",4,4
1945,"S","F",13,15
1946,"S","F",1,1
1947,"S","F",6,6
