"HC","CO","NOX"
0.56,10.33,0.71
0.66,12.26,0.83
0.61,14.38,0.54
0.11,6.14,2.46
0.17,1.54,0.97
0.39,8.6,1.35
0.29,2.17,1.17
0.23,0.86,1.69
0.22,8.38,1.48
0.28,2.47,1.8
0.61,15,0.29
0.49,8.62,1.16
0.45,6.57,0.76
0.48,5.59,1.06
0.25,2.69,1.15
0.53,6.55,1.42
0.4,3.97,1.06
0.25,5.05,0.83
0.66,13.36,0.54
0.48,5.39,1.4
0.1,1.55,1.42
0.55,14.35,0.43
0.33,7.48,1.41
0.75,14.29,0.58
0.66,12.77,0.91
0.36,3.65,0.76
0.75,16.52,0.72
0.07,10.1,1.08
0.94,16.99,0.52
0.29,3.85,1.63
0.47,4.42,1.3
0.36,3.55,1.37
0.54,11.82,0.39
0.68,13.31,1.37
0.58,9.84,0.49
0.45,11.11,0.18
0.44,7.65,0.75
0.63,15.02,0.13
0.27,8.16,1.46
0.66,6.05,0.52
0.33,6.77,0.91
0.47,5.23,1.19
0.09,5.59,1.09
0.4,10.5,0.2
0.47,5.76,1.32
0.28,0.39,2.13
0.74,15.81,0.93
0.41,7.83,1.33
0.51,6.53,1.44
0.26,2.95,1.14
0.42,4.86,0.56
0.65,12.8,1.1
0.24,3.39,0.85
0.1,0.78,0.89
0.45,9.29,1
0.64,12.83,0.93
0.25,4.13,0.95
0.53,9.23,0.94
0.43,7.45,0.91
0.46,5.67,0.67
0.17,2.12,1.16
0.3,3.66,1.29
0.29,7.74,1.14
0.11,1.48,0.9
0.47,8.64,1.65
0.39,0.78,1.69
0.4,3.06,1.61
0.18,7.55,1.74
0.14,0.62,1.17
0.3,1.97,1.12
0.51,5.57,1.73
0.19,6.2,2.36
0.31,9.47,1.31
0.32,2.9,1.3
0.6,11.88,1.19
0.61,11.42,0.77
0.59,14.44,0.45
0.31,3.5,1.71
0.24,4.85,1.19
0.47,5.67,0.95
0.07,8.61,1.54
0.53,8.98,0.99
0.5,12.21,0.26
0.33,4.92,1.02
0.51,13.49,0.87
0.23,6.49,1.66
0.39,4.46,1.16
0.34,5.21,0.69
0.83,15.36,0.59
0.44,5.8,1.17
0.36,4.46,1.77
0.22,0.69,1.48
0.24,0.69,1.53
0.29,3.67,1.06
0.5,1.69,1.25
0.63,18.4,1.48
0.25,1.42,0.6
0.22,2.43,1.35
0.43,6.52,2.6
0.41,8.43,0.65
