"year","faculty","sex","survive","total"
1938,"M","M",10,16
1939,"M","M",19,27
1940,"M","M",6,14
1941,"M","M",11,20
1942,"M","M",36,56
1943,"M","M",15,21
1944,"M","M",19,33
1945,"M","M",14,21
1946,"M","M",27,42
1947,"M","M",20,32
1938,"A","M",13,24
1939,"A","M",18,23
1940,"A","M",20,27
1941,"A","M",5,10
1942,"A","M",5,11
1943,"A","M",17,26
1944,"A","M",5,9
1945,"A","M",10,17
1946,"A","M",0,0
1947,"A","M",23,31
1938,"S","M",13,17
1939,"S","M",6,7
1940,"S","M",14,25
1941,"S","M",15,17
1942,"S","M",26,27
1943,"S","M",9,18
1944,"S","M",30,34
1945,"S","M",28,33
1946,"S","M",3,5
1947,"S","M",20,27
1938,"E","M",8,11
1939,"E","M",12,15
1940,"E","M",13,14
1941,"E","M",6,7
1942,"E","M",8,8
1943,"E","M",3,4
1944,"E","M",14,17
1945,"E","M",21,32
1946,"E","M",0,0
1947,"E","M",20,26
1938,"A","F",11,16
1939,"A","F",18,20
1940,"A","F",14,17
1941,"A","F",16,21
1942,"A","F",3,5
1943,"A","F",10,13
1944,"A","F",28,33
1945,"A","F",15,16
1946,"A","F",1,1
1947,"A","F",18,22
1938,"S","F",4,4
1939,"S","F",3,4
1940,"S","F",4,6
1941,"S","F",2,2
1942,"S","F",4,5
1943,"S","F",6,8
1944,"S","F",4,4
1945,"S","F",14,15
1946,"S","F",1,1
1947,"S","F",17,18
