"HC","CO","NOX"
0.17,8.34,2.19
0.28,7.75,1.09
0.28,2.45,0.83
0.28,5.04,0.54
0.58,9.39,0.66
0.12,8.75,1.98
0.35,4.24,1.07
0.55,8.72,1.37
0.28,0.97,1.98
0.35,4.06,0.8
0.26,2.73,1.13
0.36,4.52,0.82
0.15,8.26,1.46
0.55,9.08,0.35
0.05,7.72,1.71
0.71,15.13,0.77
0.44,7.5,1.15
0.46,9.49,0.58
0.64,15.6,0.68
0.24,3.11,1.3
0.64,12.6,1.1
0.58,13.24,0.33
0.44,12.25,1.13
0.57,11.72,0.54
0.25,4.05,1.62
0.07,9.62,1.38
0.42,4.77,1.53
0,6,1.84
0.31,6.51,0.84
0.51,8.62,1.35
0.34,2.77,0.73
0.07,5.65,2.08
0.47,8.69,0.6
0.57,9.36,0.63
0.25,1.82,1.75
0.67,11.55,0.91
0.05,7.36,1.3
0.38,10.17,0.44
0.6,8.03,1.22
0.38,7.19,0.89
0.39,8.07,0.41
0.29,3.76,1.11
0.55,15.33,0.48
0.05,5.68,2.5
0.57,16.86,0.39
0.52,7.22,1.44
0.25,1.95,1.18
0.37,9.44,0.64
0.09,6.59,1.38
0.36,4.66,1.16
0.57,8.97,0.67
0.84,16.31,0.62
0.36,5.92,1.15
0.5,6.36,1.85
0.53,4.74,0.91
0.4,7.25,1.03
0.87,19.58,0.55
0.55,8.19,1.15
0.45,6.16,0.93
0.47,8.5,0.63
0.51,9.28,1.38
0.45,3.84,0.87
0.22,2.49,1.19
0.13,10.82,1.3
0.26,0.19,1.46
0.72,14.02,0.84
0.55,7.6,1.36
0.25,2.89,1.47
0.11,1.61,1.57
0.19,4.59,1.17
0.64,14.72,0.5
0.4,7.3,1.48
0.95,20.1,0.17
0.39,7.08,1.27
0.57,14.33,1.02
0.37,5.35,0.89
0.49,8.45,0.98
0.63,13.01,0.39
0.45,6.28,1.36
0.43,5.47,0.55
0.72,18.08,0.2
0.82,18.9,0.93
0.21,6.52,1.61
0.55,11.55,0.36
0.22,6.6,1.64
0.21,8.89,1.69
0.18,4.43,1.05
0.38,8.06,0.66
0.7,15.25,1
0.53,9.72,1.04
0.32,4.03,0.68
0.22,1.05,1.25
0.32,2.74,1.6
0.35,3.9,1.08
0.57,11.2,0.62
0.31,6.34,1.5
0.51,13.59,0.35
0.67,13.85,0.79
0.19,8.52,2.07
0.35,3.58,0.7
