"HC","CO","NOX"
0.24,0.21,2.37
0.43,4.54,1.52
0.41,4.5,1.05
0.24,7.88,1.23
0.45,6.18,1.42
0.75,13.81,0.37
0.45,6.38,1.14
0.31,5.58,1.06
0.3,7.83,1.59
0.28,9.1,2.19
0.73,15.29,0.64
0.4,7.04,0.46
0.71,16.7,0.46
0.62,10.04,0.78
0.44,4.45,0.86
0.39,3.7,1.19
0.42,7.5,0.9
0.44,6.41,1.18
0.55,10.29,1.2
0.37,8.42,0.85
0.57,12.58,0.57
0.39,1.92,2.05
0.32,2.65,1.7
0.56,15.87,0.13
0.46,8.19,1.04
0.38,4.45,1.22
0.52,9.33,1.22
0.65,16.13,0.47
0.47,5.59,0.78
0.35,4.23,0.78
0.21,1.74,1.65
0.62,12.16,0.5
0,6.16,1.83
0.7,17.23,0.3
0.11,8.19,2.02
0.16,6.81,1.37
0.52,5.9,0.74
0.67,13.58,0.52
0.16,6.69,1.96
0.25,3.04,0.96
0.45,1.78,1.46
0.24,11.42,1.95
0.37,6.51,0.89
0.41,5.21,1.2
0.42,5.51,1.17
0.39,6.58,1.23
0.62,13.66,1.1
0.15,2.87,1.61
0.06,9.02,1.47
0.3,10.19,2.2
0.57,8.53,2.1
0.57,13.26,0.52
0.33,5.97,0.64
0.55,15.08,0.18
0.3,9.42,0.55
0.36,4.21,0.79
0.59,9.15,0.47
0.29,1.78,1.64
0.32,3.62,1.23
0.5,8.22,0.89
0.45,8.51,1.47
0.46,8.05,1.37
0.41,3.85,1.22
0.28,0.25,1.56
0.39,6.65,0.8
0.4,8.33,0.71
0.68,12.84,0.79
0.26,0.21,1.03
0.4,8.68,0.83
0.39,2.22,1.89
0.61,9.4,1.09
0.33,4.06,1.14
0.25,0.76,0.7
0.6,10.46,0.99
0.4,4.9,1.77
0.18,8.88,1.49
0.59,14.92,0.78
0.42,5.35,1.1
0.32,4.48,0.58
0.53,8.04,0.91
0.76,17.46,0.38
0.47,4.38,1.25
0.42,7.76,0.76
0.41,7.75,1.07
0.28,8.49,2.45
0.4,9.86,1.86
0.48,5.29,1.63
0.3,3.97,0.88
0.43,9.68,0.35
0.39,7.82,1.06
0.68,15.63,0.51
0.42,6.29,1.06
0.2,8.68,1.99
0.49,4.7,1.93
0.39,5.58,0.68
0.33,7.96,1.12
0.69,11.7,1.51
0.07,7.4,1.56
0.66,11.25,0.44
0.31,9.99,1.16
